"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Autauga ","25","25","6091","17398","121",""
"Baldwin ","70","70","19362","61192","640",""
"Barbour ","21","21","5685","5862","58",""
"Bibb ","10","9","2289","6247","68",""
"Blount ","27","27","3518","20362","292",""
"Bullock ","18","18","4001","1389","10",""
"Butler ","28","28","4174","5472","33",""
"Calhoun ","54","54","16325","32326","493",""
"Chambers ","25","25","6782","8060","75",""
"Cherokee ","26","26","2299","7285","123",""
"Chilton ","19","19","3666","13934","127",""
"Choctaw ","33","33","3633","4220","27",""
"Clarke ","31","31","5907","7455","50",""
"Clay ","25","25","1722","4946","59",""
"Cleburne ","17","17","1166","5204","98",""
"Coffee ","34","34","5068","14909","114",""
"Colbert ","36","36","9698","14729","297",""
"Conecuh ","28","28","3411","3461","42",""
"Coosa ","14","14","2269","3245","40",""
"Covington ","30","30","3238","12431","88",""
"Crenshaw ","20","20","1938","4316","28",""
"Cullman ","52","52","5855","28837","466",""
"Dale ","23","23","5257","13873","149",""
"Dallas ","32","32","13958","6791","57",""
"DeKalb ","51","51","5654","17951","279",""
"Elmore ","32","32","8268","25695","192",""
"Escambia ","34","34","5176","9365","91",""
"Etowah ","58","58","13480","30562","537",""
"Fayette ","29","29","1988","5875","80",""
"Franklin ","26","26","3469","8048","153",""
"Geneva ","28","28","2106","9314","98",""
"Greene ","16","16","4402","876","16",""
"Hale ","18","18","4969","3196","25",""
"Henry ","17","17","2990","5558","39",""
"Houston ","38","38","12194","29205","213",""
"Jackson ","43","43","6367","14068","338",""
"Jefferson ","378","378","166015","149843","1768",""
"Lamar ","27","27","1614","5419","42",""
"Lauderdale ","39","39","13318","24050","592",""
"Lawrence ","31","31","5159","9269","190",""
"Lee ","37","37","21410","32344","472",""
"Limestone ","35","35","9530","23588","349",""
"Lowndes ","15","15","5447","1807","18",""
"Macon ","19","18","9444","1396","24",""
"Madison ","106","106","64062","86910","1452",""
"Marengo ","27","27","5925","5511","28",""
"Marion ","23","23","2597","9530","186",""
"Marshall ","47","47","7021","25680","325",""
"Mobile ","200","200","81741","97670","985",""
"Monroe ","34","34","5023","6173","40",""
"Montgomery ","123","123","61999","41972","421",""
"Morgan ","59","59","13882","35986","493",""
"Perry ","18","18","4423","1676","20",""
"Pickens ","27","27","4584","5426","29",""
"Pike ","30","30","5856","7981","61",""
"Randolph ","28","28","3062","7169","130",""
"Russell ","22","22","10078","8700","105",""
"Shelby ","76","76","20575","68945","772",""
"St. Clair ","37","37","6088","27630","297",""
"Sumter ","15","15","5218","1723","23",""
"Talladega ","34","34","13769","20109","265",""
"Tallapoosa ","31","30","6052","13105","110",""
"Tuscaloosa ","101","101","32738","45351","519",""
"Walker ","47","47","7418","20719","370",""
"Washington ","36","36","3032","5592","42",""
"Wilcox ","30","30","4553","1849","10",""
"Winston ","23","23","1756","8099","149",""
