"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Apache ","45","45","15141","8381","292",""
"Cochise ","64","64","17944","27590","774",""
"Coconino ","85","85","27064","19449","597",""
"Gila ","39","39","7566","13425","327",""
"Graham ","18","18","3487","8375","139",""
"Greenlee ","8","8","1165","1711","36",""
"La Paz ","12","12","1794","3302","97",""
"Maricopa ","1142","1142","542206","675027","13907",""
"Mohave ","73","73","21286","42729","1048",""
"Navajo ","70","70","14953","19199","400",""
"Pima ","417","417","191465","168670","4244",""
"Pinal ","88","88","42905","57714","1173",""
"Santa Cruz ","24","24","8680","4517","101",""
"Yavapai ","112","112","34731","58043","1386",""
"Yuma ","42","42","17679","23658","440",""
