"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Arkansas ","26","26","2616","4184","174",""
"Ashley ","23","23","2883","5166","248",""
"Baxter ","43","43","6531","12841","588",""
"Benton ","83","83","23412","50855","1638",""
"Boone ","29","29","4429","10559","462",""
"Bradley ","16","16","1673","2259","99",""
"Calhoun ","12","12","690","1459","64",""
"Carroll ","31","31","4160","6070","323",""
"Chicot ","14","14","2927","1935","41",""
"Clark ","19","19","4265","4608","219",""
"Clay ","21","21","2245","3032","234",""
"Cleburne ","36","36","2951","7962","425",""
"Cleveland ","19","19","909","2443","143",""
"Columbia ","17","17","3496","5711","141",""
"Conway ","33","33","3144","4687","298",""
"Craighead ","26","26","11279","18859","792",""
"Crawford ","42","42","5265","14746","606",""
"Crittenden ","45","45","9361","7420","272",""
"Cross ","24","24","2580","4393","157",""
"Dallas ","10","10","1470","1756","90",""
"Desha ","22","22","2546","1977","106",""
"Drew ","17","17","2598","3860","152",""
"Faulkner ","51","51","14099","25310","862",""
"Franklin ","31","31","1868","4407","195",""
"Fulton ","14","14","1818","2700","155",""
"Garland ","42","42","14987","25011","916",""
"Grant ","20","20","1562","5022","208",""
"Greene ","32","32","4541","8578","493",""
"Hempstead ","30","30","2861","4252","206",""
"Hot Spring ","35","35","4216","7014","449",""
"Howard ","21","21","1745","2956","143",""
"Independence ","30","30","3551","8023","350",""
"Izard ","47","47","1767","3141","229",""
"Jackson ","19","19","2220","3146","260",""
"Jefferson ","178","178","18272","10614","563",""
"Johnson ","22","22","3043","4911","224",""
"Lafayette ","21","21","1133","1685","84",""
"Lawrence ","30","30","2136","3357","335",""
"Lee ","15","15","2263","1455","46",""
"Lincoln ","28","28","1709","2513","183",""
"Little River ","22","22","1752","3247","152",""
"Logan ","38","38","2196","5136","263",""
"Lonoke ","55","55","5880","17046","507",""
"Madison ","27","27","2142","3970","212",""
"Marion ","16","16","2379","4510","252",""
"Miller ","29","29","4866","9913","281",""
"Mississippi ","71","71","6638","6967","367",""
"Monroe ","24","24","1505","1602","72",""
"Montgomery ","18","18","1090","2359","165",""
"Nevada ","21","21","1471","2061","99",""
"Newton ","22","22","740","1716","104",""
"Ouachita ","21","21","4598","5602","197",""
"Perry ","19","19","1351","2743","181",""
"Phillips ","20","20","5687","3094","172",""
"Pike ","15","15","1087","2727","150",""
"Poinsett ","10","10","2740","4900","291",""
"Polk ","19","19","1955","5470","250",""
"Pope ","58","58","5986","15535","509",""
"Prairie ","23","23","1048","2223","110",""
"Pulaski ","136","136","88632","70094","2270",""
"Randolph ","29","29","2460","3601","235",""
"Saint Francis ","30","30","5371","3910","102",""
"Saline ","75","75","12657","30842","977",""
"Scott ","30","30","1052","2790","151",""
"Searcy ","20","20","1161","2726","162",""
"Sebastian ","88","88","13592","28404","896",""
"Sevier ","18","18","1254","3052","162",""
"Sharp ","26","26","2436","4535","281",""
"Stone ","31","31","1756","3810","203",""
"Union ","21","21","6177","10657","312",""
"Van Buren ","21","21","2145","4269","276",""
"Washington ","118","118","28965","37915","1395",""
"White ","94","94","6708","19429","753",""
"Woodruff ","20","20","1350","1135","130",""
"Yell ","29","29","2001","3805","225",""
