"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Alameda ","1041","1041","374922","93372","8818",""
"Alpine ","5","5","422","252","17",""
"Amador ","59","59","7321","9818","369",""
"Butte ","159","159","41474","39954","1970",""
"Calaveras ","30","30","8464","10979","513",""
"Colusa ","18","18","2206","3273","96",""
"Contra Costa ","854","854","258610","115205","6402",""
"Del Norte ","18","18","3869","4429","210",""
"El Dorado ","150","150","33010","40512","1482",""
"Fresno ","712","712","94788","94814","2915",""
"Glenn ","30","30","3693","5874","225",""
"Humboldt ","140","140","30807","16704","1558",""
"Imperial ","108","108","17791","10850","459",""
"Inyo ","27","27","3208","3833","202",""
"Kern ","588","588","76189","111254","3402",""
"Kings ","210","210","14190","19178","601",""
"Lake ","52","52","11986","8034","542",""
"Lassen ","44","44","3586","7483","277",""
"Los Angeles ","4883","4883","1938744","826512","53708",""
"Madera ","109","109","14997","20251","652",""
"Marin ","189","189","93772","24478","1949",""
"Mariposa ","21","21","3766","4880","199",""
"Mendocino ","249","249","15963","6256","673",""
"Merced ","118","118","28152","23994","802",""
"Modoc ","20","20","1311","2980","95",""
"Mono ","13","13","2827","2159","110",""
"Monterey ","184","184","61837","27321","1586",""
"Napa ","147","147","28212","14251","810",""
"Nevada ","99","99","23035","20899","864",""
"Orange ","2109","2109","433988","469124","17198",""
"Placer ","379","379","64460","80209","2465",""
"Plumas ","29","29","4715","6034","276",""
"Riverside ","1403","1403","210905","197517","7029",""
"Sacramento ","1330","1330","253581","172431","7956",""
"San Benito ","59","59","5940","3566","172",""
"San Bernardino ","1391","1391","237831","214031","9301",""
"San Diego ","2328","2328","559983","462191","17362",""
"San Francisco ","580","580","253375","40829","6169",""
"San Joaquin ","515","515","90851","74318","2874",""
"San Luis Obispo ","152","152","63159","57550","2672",""
"San Mateo ","555","555","166334","56100","3649",""
"Santa Barbara ","318","318","95677","61099","3074",""
"Santa Clara ","1142","1142","386279","158630","10070",""
"Santa Cruz ","260","260","78495","20063","2331",""
"Shasta ","150","150","24322","41482","1408",""
"Sierra ","22","22","743","1157","68",""
"Siskiyou ","72","72","7575","9288","466",""
"Solano ","214","214","74340","40755","1864",""
"Sonoma ","453","453","144399","47184","4097",""
"Stanislaus ","447","447","75106","74025","2835",""
"Sutter ","62","62","7360","10445","297",""
"Tehama ","47","47","6848","11106","471",""
"Trinity ","23","23","3197","2904","181",""
"Tulare ","250","250","32670","44729","1226",""
"Tuolumne ","68","68","11319","14700","620",""
"Ventura ","602","602","132937","103256","3985",""
"Yolo ","146","146","46499","21486","1333",""
"Yuba ","46","46","7107","9608","383",""
