"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Adams ","216","216","90113","62321","2972",""
"Alamosa ","8","8","3521","2635","130",""
"Arapahoe ","369","369","128366","100409","3392",""
"Archuleta ","8","8","2822","3618","149",""
"Baca ","9","9","532","1568","67",""
"Bent ","5","5","799","1077","44",""
"Boulder ","234","234","115339","41644","2486",""
"Broomfield ","38","38","16031","12675","524",""
"Chaffee ","15","15","4827","4832","184",""
"Cheyenne ","5","5","198","890","23",""
"Clear Creek ","9","9","3295","2278","134",""
"Conejos ","10","10","2106","1616","67",""
"Costilla ","8","8","1236","411","37",""
"Crowley ","6","6","552","976","30",""
"Custer ","3","3","914","1668","45",""
"Delta ","20","20","5007","9905","283",""
"Denver ","426","426","195499","60226","3882",""
"Dolores ","4","4","356","803","30",""
"Douglas ","138","138","51813","73225","1339",""
"Eagle ","30","30","13055","8112","282",""
"El Paso ","387","387","104670","155914","3823",""
"Elbert ","18","18","3775","9030","274",""
"Fremont ","30","30","6801","12595","403",""
"Garfield ","27","27","10847","10932","344",""
"Gilpin ","6","6","1944","1249","94",""
"Grand ","12","12","3961","4088","140",""
"Gunnison ","15","15","5512","3112","182",""
"Hinsdale ","3","3","239","343","31",""
"Huerfano ","11","11","1989","1582","74",""
"Jackson ","5","5","277","624","13",""
"Jefferson ","324","324","155020","129291","5157",""
"Kiowa ","4","4","172","630","24",""
"Kit Carson ","13","13","898","2420","75",""
"La Plata ","30","30","15422","11170","395",""
"Lake ","6","6","1847","1076","64",""
"Larimer ","153","153","84461","68932","2692",""
"Las Animas ","16","16","3483","3033","111",""
"Lincoln ","13","13","543","1683","40",""
"Logan ","16","16","2837","5986","128",""
"Mesa ","82","82","23470","43669","1026",""
"Mineral ","1","1","270","334","18",""
"Moffat ","13","13","1566","4101","152",""
"Montezuma ","11","11","4619","6913","202",""
"Montrose ","28","28","6115","11525","418",""
"Morgan ","17","17","3762","6222","147",""
"Otero ","17","17","3454","4324","123",""
"Ouray ","5","5","1629","1360","57",""
"Park ","13","13","4196","4835","235",""
"Phillips ","8","8","587","1513","25",""
"Pitkin ","10","10","7260","2448","137",""
"Prowers ","13","13","1464","3026","85",""
"Pueblo ","131","131","38074","28523","994",""
"Rio Blanco ","5","5","654","2425","55",""
"Rio Grande ","15","15","2427","2916","65",""
"Routt ","18","18","8133","4634","200",""
"Saguache ","9","9","1620","913","61",""
"San Juan ","1","1","264","218","14",""
"San Miguel ","6","6","3345","930","66",""
"Sedgwick ","5","5","468","857","26",""
"Summit ","17","17","9700","4845","213",""
"Teller ","13","13","4370","7939","243",""
"Washington ","6","6","518","1935","35",""
"Weld ","107","107","46644","55913","2027",""
"Yuma ","14","14","1105","3238","79",""
