"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Alachua ","69","69","73134","47025","1413",""
"Baker ","9","9","2326","8672","60",""
"Bay ","54","54","23603","56597","785",""
"Bradford ","19","19","3430","8135","110",""
"Brevard ","230","230","127400","157402","2644",""
"Broward ","792","792","487638","234690","3485",""
"Calhoun ","18","18","1821","4344","78",""
"Charlotte ","80","80","39006","45180","922",""
"Citrus ","41","41","31428","43666","992",""
"Clay ","64","64","26635","66847","675",""
"Collier ","94","94","52710","83238","841",""
"Columbia ","25","25","9171","18668","287",""
"DeSoto ","15","15","4378","5625","116",""
"Dixie ","12","12","1921","5188","145",""
"Duval ","285","285","192173","197171","2403",""
"Escambia ","90","90","61152","90826","1456",""
"Flagler ","38","38","24682","23931","352",""
"Franklin ","8","8","2122","3799","76",""
"Gadsden ","25","25","15566","6805","117",""
"Gilchrist ","10","10","1993","5654","131",""
"Glades ","13","13","1674","2533","33",""
"Gulf ","8","8","2144","4971","76",""
"Hamilton ","8","8","2360","3179","44",""
"Hardee ","12","12","2561","4758","81",""
"Hendry ","23","23","4998","5779","101",""
"Hernando ","56","56","18980","25220","577",""
"Highlands ","25","25","17913","25903","419",""
"Hillsborough ","382","382","219580","209503","3567",""
"Holmes ","8","8","1443","7023","110",""
"Indian River ","55","55","29565","39972","700",""
"Jackson ","31","31","7632","13695","177",""
"Jefferson ","15","15","4082","3794","72",""
"Lafayette ","5","5","640","2677","36",""
"Lake ","103","103","62710","82512","1168",""
"Lee ","171","171","117878","145624","1945",""
"Leon ","165","165","91356","55521","1150",""
"Levy ","20","20","6707","11751","260",""
"Liberty ","8","8","892","2337","44",""
"Madison ","11","11","4270","4544","71",""
"Manatee ","139","139","67785","78040","1182",""
"Marion ","151","151","70771","89571","1553",""
"Martin ","52","52","33474","44110","643",""
"Miami-Dade ","758","758","491195","351462","3004",""
"Monroe ","33","33","20868","18906","432",""
"Nassau ","21","21","10577","27326","283",""
"Okaloosa ","52","52","25623","68181","857",""
"Okeechobee ","18","18","5102","7551","117",""
"Orange ","262","262","271866","186079","2853",""
"Osceola ","110","110","59081","39489","614",""
"Palm Beach ","784","784","342527","211163","3006",""
"Pasco ","154","154","102217","109902","2343",""
"Pinellas ","376","376","243994","206909","4812",""
"Polk ","166","166","113552","128658","2086",""
"Putnam ","55","55","13201","19586","297",""
"Santa Rosa ","41","41","19394","55843","743",""
"Sarasota ","157","157","102413","102650","1761",""
"Seminole ","126","126","99140","104885","1489",""
"St. Johns ","46","46","35578","68800","825",""
"St. Lucie ","80","80","66830","52323","936",""
"Sumter ","44","44","17644","30859","347",""
"Suwannee ","16","16","4572","11672","198",""
"Taylor ","14","14","2787","6446","106",""
"Union ","11","11","1299","3933","53",""
"Volusia ","179","179","127474","113716","2086",""
"Wakulla ","12","12","5303","8869","143",""
"Walton ","33","33","7158","19527","310",""
"Washington ","18","18","2858","8165","90",""
