"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Appling ","19","19","1846","5085","65",""
"Atkinson ","6","6","938","1941","23",""
"Bacon ","7","7","817","3089","31",""
"Baker ","8","8","846","828","13",""
"Baldwin ","16","16","8587","7823","109",""
"Banks ","15","15","1027","5120","89",""
"Barrow ","18","18","6657","17625","280",""
"Bartow ","19","19","9662","25976","410",""
"Ben Hill ","7","7","2590","3417","28",""
"Berrien ","11","11","1468","4889","72",""
"Bibb ","44","43","38851","26981","283",""
"Bleckley ","3","3","1380","3657","32",""
"Brantley ","11","11","1119","5080","73",""
"Brooks ","11","11","2669","3507","20",""
"Bryan ","12","12","3630","9105","89",""
"Bulloch ","18","18","9586","14174","144",""
"Burke ","17","17","5233","4344","41",""
"Butts ","7","7","3064","5944","77",""
"Calhoun ","7","7","1342","862","7",""
"Camden ","16","16","6482","10502","87",""
"Candler ","4","4","1209","2286","20",""
"Carroll ","33","33","14334","28661","429",""
"Catoosa ","14","14","6025","18218","225",""
"Charlton ","11","11","1193","2458","22",""
"Chatham ","92","92","62755","46829","566",""
"Chattahoochee ","3","3","830","811","11",""
"Chattooga ","15","15","2591","5564","134",""
"Cherokee ","46","46","22350","70279","1026",""
"Clarke ","26","26","29513","15309","492",""
"Clay ","7","7","879","558","3",""
"Clayton ","60","60","82527","16506","353",""
"Clinch ","7","7","989","1678","29",""
"Cobb ","188","188","141216","170957","2966",""
"Coffee ","8","8","4811","8872","57",""
"Colquitt ","21","21","4139","9185","105",""
"Columbia ","47","47","15703","39322","298",""
"Cook ","10","10","2075","3782","46",""
"Coweta ","30","30","15521","37571","410",""
"Crawford ","8","8","1832","3358","46",""
"Crisp ","8","8","3078","4423","36",""
"Dade ","9","9","1608","4698","93",""
"Dawson ","10","10","1632","8242","93",""
"Decatur ","16","16","4424","5890","56",""
"DeKalb ","196","196","254594","65581","1895",""
"Dodge ","18","18","2595","5543","70",""
"Dooly ","9","9","2138","1991","29",""
"Dougherty ","30","30","26135","12547","150",""
"Douglas ","27","27","27825","26812","419",""
"Early ","13","13","2602","2709","21",""
"Echols ","3","3","201","981","5",""
"Effingham ","23","23","4936","15230","132",""
"Elbert ","13","13","3366","4868","73",""
"Emanuel ","14","14","3068","5110","56",""
"Evans ","12","12","1374","2462","19",""
"Fannin ","14","14","2611","7807","154",""
"Fayette ","38","38","20313","38501","470",""
"Floyd ","27","27","10691","23132","374",""
"Forsyth ","34","34","15406","59166","705",""
"Franklin ","15","15","1910","6054","84",""
"Fulton ","344","344","272000","130136","2498",""
"Gilmer ","15","15","2614","8408","117",""
"Glascock ","6","5","210","1202","16",""
"Glynn ","22","22","12676","20479","161",""
"Gordon ","15","15","4268","13113","208",""
"Grady ","15","15","3539","5775","45",""
"Greene ","10","10","3339","4532","47",""
"Gwinnett ","165","165","129025","158746","2345",""
"Habersham ","16","16","2900","11766","127",""
"Hall ","41","41","14457","44962","504",""
"Hancock ","9","9","3535","795","14",""
"Haralson ","13","13","2248","8658","176",""
"Harris ","14","14","4179","10645","68",""
"Hart ","9","9","3365","6537","89",""
"Heard ","11","11","1042","3133","44",""
"Henry ","40","40","40527","47115","580",""
"Houston ","26","26","22094","33392","386",""
"Irwin ","12","12","1197","2605","26",""
"Jackson ","18","18","4950","17776","215",""
"Jasper ","9","9","1935","3916","49",""
"Jeff Davis ","11","11","1350","3847","50",""
"Jefferson ","10","10","4149","3061","24",""
"Jenkins ","7","7","1482","1936","21",""
"Johnson ","9","9","1198","2426","20",""
"Jones ","13","13","4572","7782","79",""
"Lamar ","8","8","2745","4871","60",""
"Lanier ","5","5","1062","1787","21",""
"Laurens ","20","20","7769","12052","110",""
"Lee ","12","12","3100","9923","56",""
"Liberty ","15","15","10474","5828","69",""
"Lincoln ","9","9","1650","2731","35",""
"Long ","7","7","1288","2119","43",""
"Lowndes ","35","35","17405","21085","267",""
"Lumpkin ","17","17","2586","8326","151",""
"Macon ","7","6","3251","1712","18",""
"Madison ","14","14","2957","8224","128",""
"Marion ","9","9","1381","1772","29",""
"McDuffie ","12","12","3989","5400","50",""
"McIntosh ","9","9","2905","3282","41",""
"Meriwether ","16","16","4465","4982","52",""
"Miller ","3","3","809","1897","21",""
"Mitchell ","13","13","3872","4201","45",""
"Monroe ","16","16","4106","7933","79",""
"Montgomery ","9","9","1045","2521","23",""
"Morgan ","12","12","3091","5987","70",""
"Murray ","9","9","3026","8180","163",""
"Muscogee ","50","50","44158","29568","285",""
"Newton ","24","24","20827","20337","237",""
"Oconee ","15","15","4825","12120","177",""
"Oglethorpe ","12","12","2232","4144","60",""
"Paulding ","30","30","17229","39192","536",""
"Peach ","9","9","5927","5173","61",""
"Pickens ","14","14","2595","10004","177",""
"Pierce ","10","10","1253","5500","33",""
"Pike ","10","10","1574","6542","77",""
"Polk ","13","13","4052","9850","201",""
"Pulaski ","5","5","1377","2553","23",""
"Putnam ","11","11","3102","5966","59",""
"Quitman ","4","4","597","509","8",""
"Rabun ","11","11","2001","5487","96",""
"Randolph ","11","11","1833","1370","12",""
"Richmond ","75","75","52100","26842","329",""
"Rockdale ","20","20","20421","16860","230",""
"Schley ","3","3","479","1252","6",""
"Screven ","14","14","3024","3423","34",""
"Seminole ","7","7","1657","2315","21",""
"Spalding ","23","23","10141","14885","206",""
"Stephens ","10","10","2705","7689","100",""
"Stewart ","7","7","1305","783","17",""
"Sumter ","13","13","6444","5713","64",""
"Talbot ","10","10","2367","1300","25",""
"Taliaferro ","4","4","643","339","8",""
"Tattnall ","11","11","1932","4730","41",""
"Taylor ","8","8","1533","2019","26",""
"Telfair ","8","8","1862","2486","26",""
"Terrell ","8","8","2501","1890","25",""
"Thomas ","22","22","7720","10642","87",""
"Tift ","14","14","4749","9431","72",""
"Toombs ","16","16","2964","6658","66",""
"Towns ","6","6","1391","4292","56",""
"Treutlen ","8","8","1112","1826","16",""
"Troup ","18","18","10438","15374","182",""
"Turner ","5","5","1427","2096","29",""
"Twiggs ","7","7","2402","2087","30",""
"Union ","13","13","2486","8007","126",""
"Upson ","12","12","4050","7282","62",""
"Walker ","20","19","6094","17101","296",""
"Walton ","21","21","8469","27253","276",""
"Ware ","14","14","4034","8311","71",""
"Warren ","8","8","1554","1087","19",""
"Washington ","10","10","4607","4216","40",""
"Wayne ","17","17","2858","7601","96",""
"Webster ","6","6","515","588","7",""
"Wheeler ","4","4","794","1408","8",""
"White ","13","13","2174","8467","106",""
"Whitfield ","25","25","8167","19230","254",""
"Wilcox ","8","8","978","2159","24",""
"Wilkes ","9","9","2315","2705","32",""
"Wilkinson ","11","11","2298","2349","23",""
"Worth ","18","18","2540","5777","42",""
