"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Ada ","141","141","82023","92879","3828",""
"Adams ","6","6","728","1515","75",""
"Bannock ","60","60","14792","19356","957",""
"Bear Lake ","14","14","502","2377","64",""
"Benewah ","11","11","1407","2646","111",""
"Bingham ","27","27","4424","12230","501",""
"Blaine ","15","15","6947","3439","185",""
"Boise ","7","7","1240","2433","100",""
"Bonner ","33","33","7840","11145","562",""
"Bonneville ","55","55","11415","29324","952",""
"Boundary ","7","7","1474","3098","171",""
"Butte ","4","4","318","1056","32",""
"Camas ","2","2","187","422","9",""
"Canyon ","53","53","20147","42752","1347",""
"Caribou ","10","10","553","2656","93",""
"Cassia ","26","26","1305","6240","195",""
"Clark ","3","3","64","305","6",""
"Clearwater ","15","15","1211","2569","126",""
"Custer ","9","9","620","1704","47",""
"Elmore ","19","19","2523","5571","178",""
"Franklin ","17","17","599","4231","226",""
"Fremont ","14","14","1065","4700","115",""
"Gem ","14","14","2166","5585","196",""
"Gooding ","8","8","1485","3764","137",""
"Idaho County ","27","27","1935","5895","297",""
"Jefferson ","18","18","1641","8540","260",""
"Jerome ","11","11","1794","4897","156",""
"Kootenai ","75","75","22120","38387","1425",""
"Latah ","33","33","9191","7984","531",""
"Lemhi ","9","9","796","2938","104",""
"Lewis ","8","8","479","1275","50",""
"Lincoln ","6","6","497","967","43",""
"Madison ","20","20","1625","11120","301",""
"Minidoka ","12","12","1137","3976","137",""
"Nez Perce ","37","37","7123","10357","343",""
"Oneida ","6","6","381","1724","57",""
"Owyhee ","13","13","944","3024","90",""
"Payette ","11","11","2415","5988","210",""
"Power ","7","7","1027","1754","61",""
"Shoshone ","19","19","2521","2953","192",""
"Teton ","5","5","2302","2263","93",""
"Twin Falls ","47","47","8621","19032","691",""
"Valley ","9","9","2394","2750","119",""
"Washington ","11","11","1241","3168","97",""
