"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Adams ","80","80","11700","18592","316",""
"Alexander ","11","11","2189","1692","56",""
"Bond ","25","25","3832","3938","134",""
"Boone ","37","37","11324","10396","421",""
"Brown ","14","14","985","1541","39",""
"Bureau ","50","50","8872","7902","312",""
"Calhoun ","8","8","1421","1221","55",""
"Carroll ","22","22","3956","3589","112",""
"Cass ","21","21","2690","2617","101",""
"Champaign ","118","118","48351","33748","1631",""
"Christian ","30","30","6912","7869","310",""
"Clark ","23","23","3737","4406","137",""
"Clay ","22","22","2423","3924","103",""
"Clinton ","39","39","7653","9348","299",""
"Coles ","44","44","11704","10962","382",""
"Cook ","4865","4817","1582973","477038","20144",""
"Crawford ","24","24","3877","5067","176",""
"Cumberland ","12","12","2052","3155","110",""
"DeKalb ","85","85","25765","18260","768",""
"DeWitt ","23","23","3299","4345","145",""
"Douglas ","19","19","3226","5001","123",""
"DuPage ","733","733","227416","182860","5610",""
"Edgar ","29","29","3737","4393","114",""
"Edwards ","12","12","1140","2136","73",""
"Effingham ","37","37","5256","11313","250",""
"Fayette ","32","32","3963","5493","214",""
"Ford ","22","22","2226","4075","80",""
"Franklin ","35","35","8873","9390","356",""
"Fulton ","57","57","9722","6244","340",""
"Gallatin ","13","13","1587","1211","60",""
"Greene ","24","24","2617","3048","134",""
"Grundy ","42","42","9134","9144","517",""
"Hamilton ","16","16","1794","2353","115",""
"Hancock ","35","35","3753","4778","150",""
"Hardin ","6","6","892","1330","33",""
"Henderson ","13","13","2213","1540","58",""
"Henry ","52","52","13177","11247","341",""
"Iroquois ","37","37","4640","8686","258",""
"Jackson ","61","61","15199","9665","596",""
"Jasper ","16","16","2063","2963","104",""
"Jefferson ","37","37","7460","9293","376",""
"Jersey ","25","25","5036","5320","212",""
"JoDaviess ","29","29","6392","5163","177",""
"Johnson ","17","17","1477","3138","100",""
"Kane ","309","309","105592","84223","2552",""
"Kankakee ","88","88","24719","22508","737",""
"Kendall ","75","75","23529","20675","494",""
"Knox ","61","61","14165","9396","374",""
"Lake ","481","481","111051","85284","2483",""
"LaSalle ","124","124","27415","21855","868",""
"Lawrence ","27","27","3013","3401","117",""
"Lee ","49","49","7757","8243","295",""
"Livingston ","53","53","6184","9180","245",""
"Logan ","45","45","5245","7424","216",""
"Macon ","87","87","25419","24901","779",""
"Macoupin ","61","61","12071","9879","391",""
"Madison ","233","233","68836","57059","2175",""
"Marion ","48","48","8334","8687","327",""
"Marshall ","16","16","3078","3142","107",""
"Mason ","22","22","3540","3139","125",""
"Massac ","17","17","2693","4371","122",""
"McDonough ","31","31","6780","6047","203",""
"McHenry ","213","213","71976","64595","2120",""
"McLean ","116","116","37551","36657","1291",""
"Menard ","16","16","2704","3672","86",""
"Mercer ","24","24","4885","3830","127",""
"Monroe ","37","37","7943","9870","248",""
"Montgomery ","44","44","6486","6141","230",""
"Morgan ","40","40","7458","7585","295",""
"Moultrie ","16","16","2663","3466","121",""
"Ogle ","52","52","11247","13131","452",""
"Peoria ","146","146","44396","33018","1175",""
"Perry ","27","27","4697","5077","208",""
"Piatt ","16","16","3856","4988","149",""
"Pike ","33","33","3021","4451","134",""
"Pope ","6","6","842","1339","42",""
"Pulaski ","11","11","1636","1592","39",""
"Putnam ","8","8","1900","1376","59",""
"Randolph ","37","37","7387","7536","269",""
"Richland ","22","22","3177","4320","140",""
"Rock Island ","120","120","42175","25338","826",""
"Saline ","28","28","5082","6096","246",""
"Sangamon ","232","232","51176","46857","1578",""
"Schuyler ","17","17","1896","1830","90",""
"Scott ","10","10","1090","1453","58",""
"Shelby ","33","33","4236","6390","227",""
"St. Clair ","239","239","77896","47005","1668",""
"Stark ","10","10","1357","1513","37",""
"Stephenson ","46","46","11010","9686","338",""
"Tazewell ","131","131","29335","33203","1222",""
"Union ","20","20","3916","4999","194",""
"Vermilion ","94","94","16228","16046","570",""
"Wabash ","16","16","2462","3252","66",""
"Warren ","28","28","4286","3637","106",""
"Washington ","24","24","3338","4468","117",""
"Wayne ","27","27","2545","5381","134",""
"White ","27","27","3315","3985","151",""
"Whiteside ","60","60","15587","10867","416",""
"Will ","447","447","154691","119049","3320",""
"Williamson ","65","65","12893","17351","519",""
"Winnebago ","223","223","69903","53806","2308",""
"Woodford ","45","45","6969","12137","308",""
