"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Adams ","25","25","4928","8402","170",""
"Allen ","294","287","70844","77102","1109",""
"Bartholomew ","67","67","13555","17061","359",""
"Benton ","15","15","1563","2180","64",""
"Blackford ","12","12","2677","2690","68",""
"Boone ","49","49","9744","16616","258",""
"Brown ","12","12","3852","4060","129",""
"Carroll ","19","19","3733","4845","132",""
"Cass ","39","39","6995","8339","265",""
"Clark ","73","73","21918","25299","405",""
"Clay ","23","23","4954","6264","168",""
"Clinton ","39","39","5306","6915","153",""
"Crawford ","17","17","2286","2393","65",""
"Daviess ","28","28","3369","7096","117",""
"Dearborn ","45","45","7123","14886","208",""
"Decatur ","20","20","3890","6443","147",""
"DeKalb ","39","39","7169","9771","178",""
"Delaware ","75","75","28356","20904","562",""
"Dubois ","38","38","8748","9526","275",""
"Elkhart ","110","110","31289","39344","617",""
"Fayette ","28","28","4387","4917","151",""
"Floyd ","60","60","16248","19944","305",""
"Fountain ","22","22","3094","4151","157",""
"Franklin ","24","24","3404","7017","178",""
"Fulton ","17","17","3700","5145","154",""
"Gibson ","38","38","6455","8449","186",""
"Grant ","68","68","11291","14726","254",""
"Greene ","32","32","5709","7689","224",""
"Hamilton ","196","196","49691","78391","874",""
"Hancock ","38","38","11869","21991","343",""
"Harrison ","36","36","7271","10529","233",""
"Hendricks ","99","99","24394","39578","625",""
"Henry ","42","42","10058","10894","344",""
"Howard ","71","71","17803","20207","448",""
"Huntington ","34","34","5842","10289","179",""
"Jackson ","33","33","7445","9852","293",""
"Jasper ","29","29","5044","7669","149",""
"Jay ","21","21","3746","4400","157",""
"Jefferson ","26","26","6255","7052","155",""
"Jennings ","25","25","5302","6257","261",""
"Johnson ","107","107","21536","36471","561",""
"Knox ","36","36","7569","8639","209",""
"Kosciusko ","65","65","9229","20484","386",""
"LaGrange ","16","16","3659","5697","126",""
"Lake ","559","559","138603","67417","1525",""
"LaPorte ","79","79","28247","17911","681",""
"Lawrence ","39","39","7208","11018","287",""
"Madison ","111","111","30152","26403","716",""
"Marion ","594","594","237275","131459","2922",""
"Marshall ","27","27","7880","10401","244",""
"Martin ","18","18","1706","3112","67",""
"Miami ","31","31","5559","8305","211",""
"Monroe ","71","71","41332","21083","539",""
"Montgomery ","27","27","6005","9055","195",""
"Morgan ","48","48","10314","18105","318",""
"Newton ","18","18","2623","3300","107",""
"Noble ","29","29","7063","9671","237",""
"Ohio ","11","11","1158","1712","47",""
"Orange ","22","22","3390","4536","151",""
"Owen ","20","20","3570","4415","160",""
"Parke ","17","17","2913","3900","131",""
"Perry ","21","21","5140","3201","144",""
"Pike ","18","18","2700","3221","107",""
"Porter ","128","128","39046","33796","798",""
"Posey ","33","33","5820","6794","139",""
"Pulaski ","15","15","2466","3368","102",""
"Putnam ","29","29","6331","8085","209",""
"Randolph ","29","29","4839","5787","177",""
"Ripley ","27","27","4187","7794","199",""
"Rush ","20","20","3228","4270","129",""
"Scott ","16","16","4268","4443","161",""
"Shelby ","39","39","6983","10330","246",""
"Spencer ","25","25","5037","4998","137",""
"St. Joseph ","226","226","68708","48510","1039",""
"Starke ","21","21","4778","4473","195",""
"Steuben ","19","19","6283","7670","177",""
"Sullivan ","20","20","4282","4341","155",""
"Switzerland ","12","12","1638","1940","62",""
"Tippecanoe ","91","91","37709","29789","714",""
"Tipton ","17","17","3250","4452","125",""
"Union ","10","10","1220","2058","58",""
"Vanderburgh ","131","131","39368","37449","721",""
"Vermillion ","17","17","4002","3004","114",""
"Vigo ","87","87","25023","18111","524",""
"Wabash ","25","25","5455","8238","168",""
"Warren ","13","13","1753","2164","76",""
"Warrick ","59","59","12329","16013","310",""
"Washington ","22","22","4561","6512","193",""
"Wayne ","58","58","13459","14558","545",""
"Wells ","22","22","4403","8503","151",""
"White ","23","23","4839","5730","186",""
"Whitley ","34","34","5861","9122","186",""
