"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Adair ","6","6","1920","2059","56",""
"Adams ","12","12","1113","1039","35",""
"Allamakee ","12","12","3962","2961","94",""
"Appanoose ","14","14","2964","3081","102",""
"Audubon ","5","5","1731","1631","44",""
"Benton ","20","20","7035","6431","161",""
"Black Hawk ","64","64","38564","24467","677",""
"Boone ","17","17","7333","6265","192",""
"Bremer ","17","17","6870","5704","140",""
"Buchanan ","16","16","6037","4131","120",""
"Buena Vista ","14","14","4065","4217","90",""
"Butler ","13","13","3348","3686","79",""
"Calhoun ","12","12","2335","2747","72",""
"Carroll ","14","14","5284","4905","127",""
"Cass ","14","14","3201","3990","99",""
"Cedar ","12","12","5201","4278","122",""
"Cerro Gordo ","27","27","14305","9344","256",""
"Cherokee ","8","8","2883","3365","82",""
"Chickasaw ","14","14","3897","2536","66",""
"Clarke ","8","8","2214","2112","85",""
"Clay ","14","14","3908","4345","88",""
"Clayton ","15","15","5174","3640","119",""
"Clinton ","31","31","14733","9068","278",""
"Crawford ","16","16","3697","3338","100",""
"Dallas ","28","28","15101","16904","396",""
"Davis ","9","9","2262","2553","90",""
"Decatur ","14","14","1983","2019","67",""
"Delaware ","15","15","4630","4108","113",""
"Des Moines ","20","20","12396","7687","266",""
"Dickinson ","11","11","4609","5150","94",""
"Dubuque ","40","40","23791","16694","2170",""
"Emmet ","12","12","2565","2366","65",""
"Fayette ","26","26","5889","4199","115",""
"Floyd ","10","10","4797","3044","179",""
"Franklin ","15","15","2566","2495","55",""
"Fremont ","9","9","2490","2708","68",""
"Greene ","8","8","2359","2340","55",""
"Grundy ","8","8","2774","3936","64",""
"Guthrie ","9","9","2603","3025","116",""
"Hamilton ","14","14","3999","3909","118",""
"Hancock ","11","11","2790","3008","85",""
"Hardin ","9","9","4368","4301","120",""
"Harrison ","14","14","3549","3906","86",""
"Henry ","10","10","5306","5582","0",""
"Howard ","11","11","2933","1721","52",""
"Humboldt ","12","12","2151","2881","63",""
"Ida ","8","8","1455","2025","45",""
"Iowa ","12","12","4173","4173","125",""
"Jackson ","17","17","6069","3662","125",""
"Jasper ","22","22","10195","8750","260",""
"Jefferson ","13","13","5028","3321","152",""
"Johnson ","58","58","50708","20639","879",""
"Jones ","18","18","5431","4398","118",""
"Keokuk ","17","17","2508","2703","88",""
"Kossuth ","23","23","4609","4310","110",""
"Lee ","23","23","9470","6724","247",""
"Linn ","87","87","67476","43384","1176",""
"Louisa ","9","9","2520","2310","57",""
"Lucas ","9","9","2024","2329","76",""
"Lyon ","9","9","1673","4461","63",""
"Madison ","11","11","3702","4525","133",""
"Mahaska ","12","12","4450","6249","141",""
"Marion ","18","18","7408","9232","243",""
"Marshall ","20","20","9918","8229","252",""
"Mills ","12","12","2970","4177","99",""
"Mitchell ","15","15","3175","2465","0",""
"Monona ","12","12","2284","2407","65",""
"Monroe ","8","8","1793","1997","58",""
"Montgomery ","8","8","2318","2878","38",""
"Muscatine ","26","26","10850","7907","179",""
"O'Brien ","10","10","2333","4883","82",""
"Osceola ","10","10","1037","2027","56",""
"Page ","12","12","2892","4344","76",""
"Palo Alto ","11","11","2420","2290","70",""
"Plymouth ","14","14","4564","7744","77",""
"Pocahontas ","12","12","1794","2131","61",""
"Polk ","184","184","119569","88983","2790",""
"Pottawattamie ","42","42","20226","21161","459",""
"Poweshiek ","11","11","5441","4331","139",""
"Ringgold ","8","8","1236","1401","36",""
"Sac ","10","10","2237","2699","78",""
"Scott ","64","64","48675","36239","759",""
"Shelby ","10","10","2847","3472","81",""
"Sioux ","20","20","3010","13440","126",""
"Story ","44","44","26268","18812","863",""
"Tama ","17","17","4859","3813","83",""
"Taylor ","9","9","1344","1602","51",""
"Union ","10","10","2990","2774","114",""
"Van Buren ","9","9","1540","1980","61",""
"Wapello ","22","22","8481","6466","329",""
"Warren ","26","26","12261","12112","310",""
"Washington ","11","11","5140","5228","162",""
"Wayne ","5","5","1356","1563","40",""
"Webster ","30","30","9847","8299","229",""
"Winnebago ","12","12","3236","2726","76",""
"Winneshiek ","15","15","6808","4260","139",""
"Woodbury ","45","45","20290","20798","393",""
"Worth ","10","10","2560","1612","64",""
"Wright ","13","13","3087","3187","70",""
