"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Allen ","21","21","2130","3481","111",""
"Anderson ","19","19","1161","2329","107",""
"Atchison ","17","17","3157","3717","156",""
"Barber ","23","23","585","1794","31",""
"Barton ","41","41","2967","7636","224",""
"Bourbon ","20","20","2343","4159","144",""
"Brown ","18","18","1284","2926","72",""
"Butler ","52","52","8942","17756","546",""
"Chase ","11","11","371","934","26",""
"Chautauqua ","14","14","385","1396","33",""
"Cherokee ","39","39","3366","5750","179",""
"Cheyenne ","8","8","432","1247","27",""
"Clark ","7","7","241","870","16",""
"Clay ","22","22","982","2919","46",""
"Cloud ","27","27","1213","3070","93",""
"Coffey ","17","17","1105","3008","56",""
"Comanche ","5","5","194","756","14",""
"Cowley ","60","60","4859","8263","272",""
"Crawford ","50","50","7646","7453","370",""
"Decatur ","27","27","340","1189","17",""
"Dickinson ","32","32","2353","5961","160",""
"Doniphan ","14","14","1077","2336","77",""
"Douglas ","67","67","33141","17475","1013",""
"Edwards ","15","15","326","979","29",""
"Elk ","11","11","359","1035","29",""
"Ellis ","31","31","3917","8037","219",""
"Ellsworth ","26","26","838","1996","64",""
"Finney ","29","29","3188","6776","150",""
"Ford ","27","27","2848","5587","141",""
"Franklin ","25","25","4366","6969","226",""
"Geary ","39","39","3368","4376","104",""
"Gove ","10","10","257","1120","21",""
"Graham ","15","15","323","1043","34",""
"Grant ","5","5","616","1941","29",""
"Gray ","8","8","416","1585","39",""
"Greeley ","4","4","150","587","3",""
"Greenwood ","18","18","916","2087","65",""
"Hamilton ","12","12","233","836","19",""
"Harper ","15","15","740","1960","56",""
"Harvey ","33","33","6185","8865","283",""
"Haskell ","8","8","265","1216","15",""
"Hodgeman ","11","11","202","836","20",""
"Jackson ","19","19","2266","3770","133",""
"Jefferson ","14","14","3450","5058","183",""
"Jewell ","25","25","312","1229","40",""
"Johnson ","450","450","124142","149816","3603",""
"Kearny ","10","10","302","1138","13",""
"Kingman ","28","28","918","2468","95",""
"Kiowa ","6","6","197","903","23",""
"Labette ","36","36","3782","4955","190",""
"Lane ","10","10","187","786","20",""
"Leavenworth ","48","48","12749","16387","524",""
"Lincoln ","22","22","334","1175","34",""
"Linn ","13","13","1401","3029","103",""
"Logan ","12","12","222","1171","28",""
"Lyon ","38","38","5661","6468","274",""
"Marion ","31","31","1607","3695","84",""
"Marshall ","31","31","1779","3150","95",""
"McPherson ","33","33","4113","8732","225",""
"Meade ","9","9","369","1527","34",""
"Miami ","34","34","5644","9229","249",""
"Mitchell ","25","25","692","2405","59",""
"Montgomery ","49","49","4203","9142","255",""
"Morris ","16","16","897","1858","56",""
"Morton ","5","5","225","1129","20",""
"Nemaha ","30","30","1405","3761","109",""
"Neosho ","27","27","2496","4372","154",""
"Ness ","11","11","283","1197","29",""
"Norton ","12","12","488","1836","37",""
"Osage ","24","24","2508","4768","189",""
"Osborne ","30","30","391","1441","34",""
"Ottawa ","24","24","703","2304","58",""
"Pawnee ","25","25","869","1923","50",""
"Phillips ","28","28","516","2066","36",""
"Pottawatomie ","28","28","2552","6816","301",""
"Pratt ","12","12","1265","2765","73",""
"Rawlins ","17","17","270","1243","29",""
"Reno ","79","79","9711","15858","476",""
"Republic ","23","23","627","1949","52",""
"Rice ","26","26","1137","2746","76",""
"Riley ","48","48","10033","11729","374",""
"Rooks ","14","14","467","2054","51",""
"Rush ","13","13","498","1217","52",""
"Russell ","13","13","719","2470","48",""
"Saline ","53","53","7897","13754","422",""
"Scott ","11","11","311","1788","34",""
"Sedgwick ","252","252","79175","104119","3427",""
"Seward ","22","22","1376","3620","48",""
"Shawnee ","198","198","40072","40806","1427",""
"Sheridan ","15","15","252","1068","14",""
"Sherman ","18","18","677","1932","55",""
"Smith ","26","26","437","1695","39",""
"Stafford ","24","24","535","1483","37",""
"Stanton ","3","3","187","625","11",""
"Stevens ","12","12","277","1770","28",""
"Sumner ","41","41","3304","6637","243",""
"Thomas ","18","18","761","2762","47",""
"Trego ","11","11","415","1215","26",""
"Wabaunsee ","14","14","1020","2375","90",""
"Wallace ","6","6","96","690","18",""
"Washington ","26","26","640","2193","67",""
"Wichita ","3","3","163","835","16",""
"Wilson ","23","23","1218","2927","100",""
"Woodson ","10","10","507","1045","30",""
"Wyandotte ","111","111","38482","16211","774",""
