"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Adair ","16","16","1888","5512","0",""
"Allen ","13","13","2023","5258","108",""
"Anderson ","14","14","3461","6884","205",""
"Ballard ","13","13","1427","2537","96",""
"Barren ","24","24","5434","11133","240",""
"Bath ","12","12","2210","2234","99",""
"Bell ","33","33","2718","9519","128",""
"Boone ","60","60","16292","33812","670",""
"Bourbon ","18","18","3385","4820","125",""
"Boyd ","47","47","8886","11429","354",""
"Boyle ","25","25","4764","7697","165",""
"Bracken ","8","8","1241","2066","92",""
"Breathitt ","21","21","2205","2671","154",""
"Breckinridge ","15","15","3110","5281","131",""
"Bullitt ","44","44","10056","19857","443",""
"Butler ","12","12","1555","3696","56",""
"Caldwell ","13","13","2212","3866","121",""
"Calloway ","30","30","6165","8991","248",""
"Campbell ","66","66","15619","24045","629",""
"Carlisle ","6","6","879","1699","39",""
"Carroll ","11","11","1716","2032","87",""
"Carter ","23","23","4314","5252","245",""
"Casey ","15","15","1219","4679","59",""
"Christian ","44","44","8822","13515","195",""
"Clark ","26","26","5749","9664","215",""
"Clay ","20","20","1552","5710","102",""
"Clinton ","13","13","761","3366","45",""
"Crittenden ","12","12","1254","2604","72",""
"Cumberland ","9","9","697","2056","44",""
"Daviess ","84","84","19282","23692","648",""
"Edmonson ","10","10","1652","3562","56",""
"Elliott ","7","7","1535","902","78",""
"Estill ","15","15","1555","3685","74",""
"Fayette ","274","274","66040","59884","1713",""
"Fleming ","18","18","2279","3432","121",""
"Floyd ","42","42","7530","7741","388",""
"Franklin ","44","44","11767","11911","401",""
"Fulton ","13","13","1226","1530","45",""
"Gallatin ","8","8","1278","1840","75",""
"Garrard ","13","13","2012","5117","80",""
"Grant ","23","23","3109","5605","133",""
"Graves ","30","30","5843","10056","256",""
"Grayson ","23","23","3154","6605","144",""
"Green ","10","10","1204","3785","90",""
"Greenup ","32","32","6621","8849","328",""
"Hancock ","10","10","2128","1924","80",""
"Hardin ","55","55","15650","23896","444",""
"Harlan ","35","35","2586","7165","163",""
"Harrison ","17","17","2916","4520","154",""
"Hart ","19","19","2290","4397","130",""
"Henderson ","42","42","10049","9523","289",""
"Henry ","20","20","2724","4081","113",""
"Hickman ","6","6","812","1406","32",""
"Hopkins ","40","40","7104","11916","328",""
"Jackson ","14","14","743","4407","74",""
"Jefferson ","515","515","196272","153865","3476",""
"Jessamine ","37","37","6236","13710","267",""
"Johnson ","31","31","2413","5964","161",""
"Kenton ","108","108","21460","33371","871",""
"Knott ","30","30","2523","2950","132",""
"Knox ","30","30","3074","8150","165",""
"LaRue ","12","12","1913","4153","112",""
"Laurel ","45","45","4593","17563","221",""
"Lawrence ","18","18","2036","3503","110",""
"Lee ","10","10","752","1978","43",""
"Leslie ","17","17","766","3574","57",""
"Letcher ","32","32","2623","5367","245",""
"Lewis ","14","14","1510","3213","68",""
"Lincoln ","17","17","2752","6273","126",""
"Livingston ","10","10","1622","2890","81",""
"Logan ","20","20","3811","6925","154",""
"Lyon ","6","6","1577","2220","58",""
"Madison ","56","56","12392","19694","451",""
"Magoffin ","14","14","2105","2434","112",""
"Marion ","17","17","3596","3842","177",""
"Marshall ","25","25","5593","9463","293",""
"Martin ","14","14","808","2824","60",""
"Mason ","20","20","2891","4102","128",""
"McCracken ","54","54","11285","19043","426",""
"McCreary ","18","18","1258","4078","71",""
"McLean ","8","8","1963","2386","73",""
"Meade ","18","18","4343","6691","172",""
"Menifee ","6","6","1276","1155","58",""
"Mercer ","17","17","3159","6781","120",""
"Metcalfe ","12","12","1350","2734","115",""
"Monroe ","12","12","1067","3537","61",""
"Montgomery ","18","18","4234","5947","150",""
"Morgan ","12","12","1858","2377","84",""
"Muhlenberg ","26","26","6221","6447","221",""
"Nelson ","26","26","7654","10139","353",""
"Nicholas ","5","5","1272","1634","64",""
"Ohio ","25","25","4059","5781","307",""
"Oldham ","34","34","9996","18992","319",""
"Owen ","13","13","1694","2969","88",""
"Owsley ","8","8","381","1279","26",""
"Pendleton ","12","12","2027","3676","99",""
"Perry ","37","37","3444","6762","169",""
"Pike ","57","57","9525","12665","463",""
"Powell ","11","11","2065","2867","70",""
"Pulaski ","57","57","5590","19862","314",""
"Robertson ","5","5","451","533","31",""
"Rockcastle ","14","14","1410","4757","107",""
"Rowan ","18","18","4074","3907","173",""
"Russell ","16","16","1579","5702","132",""
"Scott ","35","35","7712","11782","236",""
"Shelby ","33","33","6871","11451","218",""
"Simpson ","13","13","2775","4437","97",""
"Spencer ","11","11","2519","5378","152",""
"Taylor ","20","20","3165","7568","127",""
"Todd ","13","13","1543","3336","62",""
"Trigg ","14","14","2246","4189","92",""
"Trimble ","12","12","1484","2239","89",""
"Union ","16","16","2804","3120","110",""
"Warren ","63","63","17650","25957","482",""
"Washington ","14","14","1890","3305","80",""
"Wayne ","19","19","2201","4868","127",""
"Webster ","14","14","2390","3037","113",""
"Whitley ","36","36","3484","10014","205",""
"Wolfe ","8","8","1493","1408","67",""
"Woodford ","16","16","5027","7130","140",""
