"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Acadia ","59","59","7028","19228","454",""
"Allen ","30","30","2891","6333","243",""
"Ascension ","61","61","14620","31225","707",""
"Assumption ","23","23","4756","5981","223",""
"Avoyelles ","45","45","6327","10234","375",""
"Beauregard ","45","45","3071","10718","285",""
"Bienville ","26","26","3589","3776","65",""
"Bossier ","75","75","12701","32706","419",""
"Caddo ","158","158","55220","52105","895",""
"Calcasieu ","118","118","30227","50431","1435",""
"Caldwell ","19","19","1118","3696","79",""
"Cameron ","13","13","613","3089","95",""
"Catahoula ","29","29","1659","3486","80",""
"Claiborne ","28","28","3025","3750","66",""
"Concordia ","21","21","3766","5668","93",""
"DeSoto ","51","51","5241","6882","132",""
"East Baton Rouge ","314","314","99431","95297","2297",""
"East Carroll ","24","24","2267","1254","38",""
"East Feliciana ","23","23","4383","5431","132",""
"Evangeline ","59","59","5852","9792","330",""
"Franklin ","28","28","2959","6278","119",""
"Grant ","23","23","1474","6906","177",""
"Iberia ","59","59","12492","20123","549",""
"Iberville ","44","44","9023","7185","213",""
"Jackson ","29","29","2456","5190","90",""
"Jeff Davis ","23","23","3923","9277","300",""
"Jefferson ","268","268","64853","113008","2830",""
"Lafayette ","119","119","32145","62055","1442",""
"Lafourche ","71","71","9662","27089","1142",""
"LaSalle ","29","29","860","5601","91",""
"Lincoln ","42","42","8267","10676","207",""
"Livingston ","71","71","6674","43247","941",""
"Madison ","29","29","3100","2152","48",""
"Morehouse ","55","55","5789","7258","150",""
"Natchitoches ","51","51","7801","9054","212",""
"Orleans ","442","442","116042","28041","2204",""
"Ouachita ","81","81","24769","41708","690",""
"Plaquemines ","18","18","3378","6889","175",""
"Pointe Coupee ","29","29","5516","6702","217",""
"Rapides ","103","103","20109","36605","783",""
"Red River ","18","18","2080","2484","65",""
"Richland ","35","35","3311","5751","119",""
"Sabine ","38","38","2245","7226","181",""
"St. Bernard ","36","36","3491","9642","407",""
"St. Charles ","45","45","8519","16456","418",""
"St. Helena ","13","13","3567","2522","94",""
"St. James ","21","21","6993","5432","138",""
"St. John the Baptist ","36","36","12420","8908","320",""
"St. Landry ","87","87","20267","21647","575",""
"St. Martin ","54","54","9419","14443","390",""
"St. Mary ","53","53","9342","13181","372",""
"St. Tammany ","158","158","24589","83047","1867",""
"Tangipahoa ","87","87","16427","31421","730",""
"Tensas ","17","17","1646","1367","27",""
"Terrebonne ","88","88","11579","28208","905",""
"Union ","29","29","3103","7619","146",""
"Vermilion ","58","58","6261","18069","498",""
"Vernon ","73","73","3534","11946","289",""
"Washington ","41","41","6122","12215","287",""
"Webster ","41","41","6610","11417","243",""
"West Baton Rouge ","21","21","5043","6654","169",""
"West Carroll ","17","17","878","4045","64",""
"West Feliciana ","17","17","2414","3149","55",""
"Winn ","38","38","2044","4628","93",""
