"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Androscoggin ","26","26","30635","22597","1144",""
"Aroostook ","71","71","19303","15862","738",""
"Cumberland ","69","69","103637","55818","2500",""
"Franklin ","25","25","10582","6986","457",""
"Hancock ","44","44","18863","12667","550",""
"Kennebec ","33","33","37099","27456","1201",""
"Knox ","18","18","13728","8816","420",""
"Lincoln ","19","19","11884","9287","394",""
"Oxford ","39","39","17936","12856","817",""
"Penobscot ","75","75","42975","37523","1594",""
"Piscataquis ","21","21","4430","4785","206",""
"Sagadahoc ","10","10","12207","8771","425",""
"Somerset ","34","34","13343","11864","522",""
"Waldo ","28","28","11820","10375","424",""
"Washington ","53","53","8241","8070","326",""
"York ","48","48","64798","42459","1919",""
