"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Allegany ","36","36","10564","18197","558",""
"Anne Arundel ","189","189","122064","127336","3819",""
"Baltimore ","219","219","207382","155497","5952",""
"Baltimore City ","290","290","206548","27850","2290",""
"Calvert ","23","23","19953","22808","529",""
"Caroline ","8","8","4856","7882","187",""
"Carroll ","46","46","27655","53859","1550",""
"Cecil ","19","19","17391","23534","835",""
"Charles ","36","36","42352","24957","581",""
"Dorchester ","31","31","6718","7990","158",""
"Frederick ","66","66","52078","53712","1586",""
"Garrett ","19","19","3628","8749","189",""
"Harford ","72","72","47301","70226","2236",""
"Howard ","110","110","84215","53932","2049",""
"Kent ","10","10","4861","4861","142",""
"Montgomery ","245","245","303945","114998","4479",""
"Prince George's ","223","223","323105","37969","2175",""
"Queen Anne's ","17","17","8349","14766","298",""
"Somerset ","22","22","4650","4897","95",""
"St. Mary's ","31","31","18402","24078","559",""
"Talbot ","12","12","8582","10636","239",""
"Washington ","50","50","25462","33381","933",""
"Wicomico ","37","37","18697","21234","453",""
"Worcester ","18","18","11132","15322","308",""
