"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Barnstable ","67","67","73503","55570","1939",""
"Berkshire ","64","64","49415","14851","1477",""
"Bristol ","175","175","146311","90284","4390",""
"Dukes ","7","7","7892","2438","173",""
"Essex ","236","236","208323","136905","5742",""
"Franklin ","40","40","27818","9528","922",""
"Hampden ","171","171","120021","70923","4120",""
"Hampshire ","55","55","56847","20569","1787",""
"Middlesex ","475","475","462226","245215","12199",""
"Nantucket ","1","1","4059","1863","91",""
"Norfolk ","205","205","199833","136573","5424",""
"Plymouth ","142","142","131457","112681","3801",""
"Suffolk ","297","297","202148","55142","3571",""
"Worcester ","233","233","201230","151742","7435",""
