"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Alcona ","12","12","2896","3404","84",""
"Alger ","14","14","2472","2188","90",""
"Allegan ","48","48","23526","29526","1025",""
"Alpena ","18","18","7705","7125","255",""
"Antrim ","16","16","6079","7506","267",""
"Arenac ","20","20","4155","3807","166",""
"Baraga ","8","8","1725","1846","73",""
"Barry ","25","25","13449","16431","685",""
"Bay ","89","89","32589","23794","1044",""
"Benzie ","13","13","5461","4687","171",""
"Berrien ","76","76","40376","36128","1154",""
"Branch ","23","23","8412","9534","336",""
"Calhoun ","65","65","34550","28538","1078",""
"Cass ","24","24","12080","11112","379",""
"Charlevoix ","20","20","6817","7306","244",""
"Cheboygan ","23","23","6721","6919","261",""
"Chippewa ","20","20","8169","8249","257",""
"Clare ","26","26","7496","6793","276",""
"Clinton ","32","32","20001","19724","647",""
"Crawford ","11","11","3440","3558","176",""
"Delta ","23","23","9976","8763","289",""
"Dickinson ","20","20","5995","7049","267",""
"Eaton ","64","64","30736","25898","982",""
"Emmet ","20","20","8515","9315","320",""
"Genesee ","231","231","143919","72445","3515",""
"Gladwin ","21","21","6590","6391","260",""
"Gogebic ","12","12","4757","3330","177",""
"Grand Traverse ","36","36","23255","24713","757",""
"Gratiot ","24","24","9102","8324","308",""
"Hillsdale ","25","25","8765","11221","463",""
"Houghton ","33","33","7473","8100","395",""
"Huron ","30","30","8367","8434","334",""
"Ingham ","136","136","95698","47143","2284",""
"Ionia ","31","31","14808","15850","688",""
"Iosco ","18","18","7307","6583","295",""
"Iron ","15","15","3080","2947","135",""
"Isabella ","28","28","16679","11220","450",""
"Jackson ","87","87","37480","35692","1331",""
"Kalamazoo ","125","125","73407","48411","2091",""
"Kalkaska ","13","13","3780","4527","192",""
"Kent ","296","296","149855","148305","4978",""
"Keweenaw ","5","5","610","756","44",""
"Lake ","19","19","2919","2269","104",""
"Lapeer ","37","37","21457","22831","1074",""
"Leelanau ","13","13","7354","6937","171",""
"Lenawee ","46","46","24638","22223","868",""
"Livingston ","98","98","42346","55581","1691",""
"Luce ","7","7","1191","1490","59",""
"Mackinac ","14","14","3027","3268","101",""
"Macomb ","450","450","223754","187645","7757",""
"Manistee ","23","23","7234","5506","264",""
"Marquette ","48","48","19630","12902","644",""
"Mason ","27","27","7816","7146","259",""
"Mecosta ","23","23","9099","9235","315",""
"Menominee ","20","20","5980","4855","198",""
"Midland ","150","150","20742","22285","744",""
"Missaukee ","17","17","2898","4469","125",""
"Monroe ","74","74","39180","35852","1383",""
"Montcalm ","31","31","13208","13291","552",""
"Montmorency ","9","9","2403","2841","116",""
"Muskegon ","81","81","53400","28855","1309",""
"Newaygo ","30","30","10788","11862","453",""
"Oakland ","638","638","372694","276881","9686",""
"Oceana ","18","18","6405","5860","244",""
"Ogemaw ","23","23","5391","5133","244",""
"Ontonagon ","14","14","1966","1823","96",""
"Osceola ","18","18","4848","5966","198",""
"Oscoda ","10","10","1887","2320","121",""
"Otsego ","13","13","5634","6752","230",""
"Ottawa ","127","127","51925","84823","2134",""
"Presque Isle ","18","18","3719","3605","177",""
"Roscommon ","24","24","7082","6727","241",""
"Saginaw ","92","92","60260","42218","1589",""
"Sanilac ","31","31","9047","10678","443",""
"Schoolcraft ","12","12","2184","2058","83",""
"Shiawassee ","34","34","18015","15054","695",""
"St. Clair ","79","79","40676","38555","1674",""
"St. Joseph ","26","26","12311","12876","493",""
"Tuscola ","33","33","13503","13739","555",""
"Van Buren ","34","34","18589","15535","644",""
"Washtenaw ","157","157","130547","53943","2580",""
"Wayne ","1249","1249","656303","216880","11596",""
"Wexford ","20","20","7357","8044","281",""
