"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Aitkin ","54","54","4595","4589","201",""
"Anoka ","124","124","86977","91357","3284",""
"Becker ","48","48","7687","8851","372",""
"Beltrami ","62","62","12019","9762","393",""
"Benton ","32","32","8452","10338","472",""
"Big Stone ","23","23","1552","1362","70",""
"Blue Earth ","53","53","19325","14782","820",""
"Brown ","32","32","5808","7454","305",""
"Carlton ","39","39","11501","6549","305",""
"Carver ","34","34","20654","28157","759",""
"Cass ","72","72","7276","8660","331",""
"Chippewa ","23","23","3277","2906","144",""
"Chisago ","24","24","12782","15788","631",""
"Clay ","55","55","16666","11978","512",""
"Clearwater ","29","29","1877","2291","77",""
"Cook ","12","12","2019","1240","78",""
"Cottonwood ","28","28","2759","3157","99",""
"Crow Wing ","62","62","15859","18566","631",""
"Dakota ","141","141","116778","104365","3536",""
"Dodge ","19","19","4463","5468","245",""
"Douglas ","38","38","9255","11241","375",""
"Faribault ","33","33","3736","4197","196",""
"Fillmore ","37","37","5921","4993","265",""
"Freeborn ","40","40","9915","6955","352",""
"Goodhue ","44","44","12420","12775","519",""
"Grant ","23","23","1850","1646","95",""
"Hennepin ","426","426","420958","231057","9696",""
"Houston ","27","27","5906","4743","201",""
"Hubbard ","34","34","4872","6559","183",""
"Isanti ","18","18","8248","11325","414",""
"Itasca ","79","79","13461","10309","534",""
"Jackson ","30","30","2618","2858","131",""
"Kanabec ","20","20","3742","4479","252",""
"Kandiyohi ","47","47","10123","11318","402",""
"Kittson ","38","38","1492","1016","58",""
"Koochiching ","35","35","3649","2962","167",""
"Lac Qui Parle ","31","31","2160","1913","103",""
"Lake ","18","18","4174","2636","130",""
"Lake of the Woods ","15","15","971","1278","55",""
"Le Sueur ","26","26","6994","7636","341",""
"Lincoln ","20","20","1517","1491","105",""
"Lyon ","33","33","6110","6315","247",""
"Mahnomen ","19","19","1436","843","56",""
"Marshall ","60","60","2311","2285","122",""
"Martin ","37","37","4413","6053","256",""
"McLeod ","28","28","7505","10993","462",""
"Meeker ","30","30","5379","6737","372",""
"Mille Lacs ","25","25","6073","7049","368",""
"Morrison ","48","48","6547","9734","417",""
"Mower ","39","39","11605","7075","433",""
"Murray ","29","29","2345","2320","133",""
"Nicollet ","33","33","9887","7968","340",""
"Nobles ","40","40","4244","4368","170",""
"Norman ","33","33","2129","1204","88",""
"Olmsted ","73","73","38711","36202","1293",""
"Otter Tail ","91","91","13856","18077","647",""
"Pennington ","34","34","3394","3248","153",""
"Pine ","47","47","7084","6862","378",""
"Pipestone ","22","22","2021","2652","103",""
"Polk ","82","82","7849","7148","265",""
"Pope ","30","30","3317","3068","131",""
"Ramsey ","178","178","182972","88942","4595",""
"Red Lake ","21","21","1119","983","75",""
"Redwood ","43","43","3250","4308","226",""
"Renville ","37","37","3904","3956","257",""
"Rice ","33","33","17381","13723","597",""
"Rock ","24","24","2078","2773","95",""
"Roseau ","44","44","3096","4437","142",""
"Scott ","44","44","29209","36726","1016",""
"Sherburne ","33","33","17960","26143","754",""
"Sibley ","24","24","2998","4492","221",""
"St. Louis ","184","184","77332","38730","2239",""
"Stearns ","102","102","35690","41194","1622",""
"Steele ","26","26","9016","10068","492",""
"Stevens ","26","26","2780","2710","126",""
"Swift ","31","31","2907","2184","145",""
"Todd ","39","39","5277","6637","311",""
"Traverse ","20","20","1041","933","57",""
"Wabasha ","33","33","5646","5935","276",""
"Wadena ","24","24","2882","4127","148",""
"Waseca ","22","22","4401","5212","245",""
"Washington ","90","90","70281","64335","1996",""
"Watonwan ","21","21","2562","2526","152",""
"Wilkin ","33","33","1550","1786","70",""
"Winona ","49","49","16308","10974","541",""
"Wright ","40","40","26343","37779","1251",""
"Yellow Medicine ","31","31","2816","2579","158",""
