"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Adams ","20","20","7630","5300","94",""
"Alcorn ","16","16","3701","9752","223",""
"Amite ","21","21","3320","4214","57",""
"Attala ","21","21","3739","5209","60",""
"Benton ","5","5","2224","2329","82",""
"Bolivar ","28","28","9471","4487","149",""
"Calhoun ","10","10","2242","4068","36",""
"Carroll ","14","14","2027","3886","26",""
"Chickasaw ","15","15","4053","3934","65",""
"Choctaw ","13","13","1459","2624","45",""
"Claiborne ","9","9","3561","632","20",""
"Clarke ","23","23","2727","4679","42",""
"Clay ","14","14","6424","4412","68",""
"Coahoma ","19","19","6947","2502","50",""
"Copiah ","19","19","7640","6683","91",""
"Covington ","17","17","3826","5503","86",""
"DeSoto ","38","38","19265","43510","462",""
"Forrest ","33","33","11622","15296","266",""
"Franklin ","14","14","1722","2896","43",""
"George ","22","22","1398","7050","96",""
"Greene ","13","13","1362","4358","62",""
"Grenada ","16","16","4995","6215","58",""
"Hancock ","26","26","3195","11614","249",""
"Harrison ","66","66","22175","37927","514",""
"Hinds ","119","119","68794","29187","514",""
"Holmes ","17","17","6945","1504","63",""
"Humphreys ","13","13","3180","1243","29",""
"Issaquena ","5","5","523","322","7",""
"Itawamba ","26","26","1938","7240","199",""
"Jackson ","40","40","15534","32959","483",""
"Jasper ","19","19","4476","3660","43",""
"Jeff Davis ","21","21","3924","2512","37",""
"Jefferson ","15","15","3295","450","43",""
"Jones ","46","46","8089","18726","249",""
"Kemper ","15","15","2876","1694","26",""
"Lafayette ","18","18","7997","10278","185",""
"Lamar ","21","21","4694","16969","244",""
"Lauderdale ","54","54","13048","19368","197",""
"Lawrence ","26","26","2513","4318","52",""
"Leake ","19","19","3575","4509","50",""
"Lee ","42","42","11769","22403","243",""
"Leflore ","19","19","8914","4105","62",""
"Lincoln ","32","32","5505","10781","116",""
"Lowndes ","22","22","13110","13934","261",""
"Madison ","42","42","18034","24781","216",""
"Marion ","23","23","3764","7350","69",""
"Marshall ","24","24","9573","6650","109",""
"Monroe ","25","25","7137","10165","143",""
"Montgomery ","16","16","2244","2638","26",""
"Neshoba ","27","27","2584","7205","59",""
"Newton ","19","19","3063","6338","55",""
"Noxubee ","10","10","4970","1507","33",""
"Oktibbeha ","21","21","9326","9320","146",""
"Panola ","24","24","8370","7515","105",""
"Pearl River ","34","34","3727","16156","224",""
"Perry ","15","15","1521","4040","64",""
"Pike ","32","32","7958","7441","113",""
"Pontotoc ","29","29","2951","9656","159",""
"Prentiss ","15","15","3020","7703","221",""
"Quitman ","5","5","2797","1334","31",""
"Rankin ","52","52","14235","47645","589",""
"Scott ","24","24","4709","6205","59",""
"Sharkey ","10","10","1722","784","14",""
"Simpson ","30","30","4393","6660","141",""
"Smith ","18","18","1821","5715","69",""
"Stone ","15","15","1746","4661","88",""
"Sunflower ","18","18","7158","2900","106",""
"Tallahatchie ","22","22","3646","2435","51",""
"Tate ","19","19","4951","7639","97",""
"Tippah ","24","24","2514","6809","163",""
"Tishomingo ","19","19","1941","6195","204",""
"Tunica ","12","12","2917","864","34",""
"Union ","20","20","2727","8302","121",""
"Walthall ","21","21","3421","4244","71",""
"Warren ","22","22","9502","9953","110",""
"Washington ","20","20","12884","6274","88",""
"Wayne ","24","24","3860","6056","62",""
"Webster ","17","17","1321","4032","36",""
"Wilkinson ","9","9","3498","1556","45",""
"Winston ","12","12","4606","5473","71",""
"Yalobusha ","11","11","3104","3604","46",""
"Yazoo ","26","26","5725","4219","71",""
"","","","","","",""
"Updated: 11/10/2008 3:28 PM ET","","","","","",""
