"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Adair ","12","12","5735","5891","244",""
"Andrew ","23","23","3345","5279","166",""
"Atchison ","6","6","1000","1936","40",""
"Audrain ","18","18","4434","6167","179",""
"Barry ","19","19","4630","9758","256",""
"Barton ","17","17","1455","4414","79",""
"Bates ","16","16","3271","4833","179",""
"Benton ","13","13","3628","5757","177",""
"Bollinger ","14","14","1690","3972","122",""
"Boone ","103","103","46960","36803","1330",""
"Buchanan ","35","35","19157","19110","764",""
"Butler ","27","27","5316","11805","217",""
"Caldwell ","11","11","1812","2652","96",""
"Callaway ","27","27","7578","11388","351",""
"Camden ","25","25","7772","14074","285",""
"Cape Girardeau ","35","35","12208","24767","379",""
"Carroll ","15","15","1535","2955","48",""
"Carter ","8","8","986","1838","74",""
"Cass ","48","48","19840","29691","640",""
"Cedar ","10","10","2060","4193","100",""
"Chariton ","13","13","1799","2338","76",""
"Christian ","28","28","11876","25376","432",""
"Clark ","9","9","1572","1782","102",""
"Clay ","78","78","53720","54485","1323",""
"Clinton ","9","9","4545","5709","199",""
"Cole ","39","39","13952","24383","401",""
"Cooper ","11","11","2996","4902","128",""
"Crawford ","11","11","3911","6007","167",""
"Dade ","9","9","1184","2864","64",""
"Dallas ","14","14","2656","4895","132",""
"Daviess ","8","8","1400","2263","123",""
"DeKalb ","12","12","1692","2889","102",""
"Dent ","9","9","2056","4655","157",""
"Douglas ","25","25","2140","4405","167",""
"Dunklin ","22","22","4528","7034","179",""
"Franklin ","52","52","21251","27351","682",""
"Gasconade ","18","18","2899","4763","109",""
"Gentry ","11","11","1235","1964","93",""
"Greene ","82","82","55928","77393","1818",""
"Grundy ","13","13","1580","3006","153",""
"Harrison ","11","11","1287","2512","116",""
"Henry ","20","20","4869","6092","195",""
"Hickory ","11","11","2171","2850","94",""
"Holt ","7","7","802","1791","38",""
"Howard ","10","10","2020","2689","108",""
"Howell ","21","21","5732","10974","311",""
"Iron ","10","10","2213","2090","111",""
"Jackson ","400","400","210296","124531","3740",""
"Jasper ","46","46","15718","31634","628",""
"Jefferson ","73","73","53457","50793","1432",""
"Johnson ","11","11","9474","12178","417",""
"Knox ","7","7","758","1211","53",""
"LaClede ","20","20","5217","10872","230",""
"Lafayette ","15","15","6891","9433","256",""
"Lawrence ","21","21","5097","11260","277",""
"Lewis ","11","11","1836","2596","71",""
"Lincoln ","28","28","10231","12921","392",""
"Linn ","14","14","2635","3139","153",""
"Livingston ","13","13","2435","3993","124",""
"Macon ","15","15","2784","4586","104",""
"Madison ","8","8","2042","2897","89",""
"Maries ","10","10","1598","2851","96",""
"Marion ","17","17","4701","7702","145",""
"McDonald ","19","19","2454","5499","182",""
"Mercer ","10","10","519","1169","60",""
"Miller ","21","21","3553","7797","183",""
"Mississippi ","9","9","2247","3034","75",""
"Moniteau ","13","13","2084","4467","114",""
"Monroe ","8","8","1703","2532","78",""
"Montgomery ","11","11","2346","3426","81",""
"Morgan ","11","11","3565","5451","133",""
"New Madrid ","23","23","3370","4593","129",""
"Newton ","25","25","7450","17637","319",""
"Nodaway ","19","19","4493","5568","158",""
"Oregon ","13","13","1811","2652","128",""
"Osage ","19","19","1905","5061","110",""
"Ozark ","11","11","1661","2917","107",""
"Pemiscot ","19","19","3029","3954","64",""
"Perry ","18","18","3005","5527","115",""
"Pettis ","26","26","6927","11012","258",""
"Phelps ","25","25","7393","11704","338",""
"Pike ","15","15","3481","4262","125",""
"Platte ","35","35","21454","24458","560",""
"Polk ","22","22","4553","8956","188",""
"Pulaski ","10","10","5251","9551","198",""
"Putnam ","9","9","695","1591","53",""
"Ralls ","8","8","2041","2987","56",""
"Randolph ","15","15","3978","6445","183",""
"Ray ","14","14","5241","5593","215",""
"Reynolds ","14","14","1415","1779","86",""
"Ripley ","14","14","1795","3406","161",""
"Saline ","20","20","4705","4957","173",""
"Schuyler ","6","6","775","1139","69",""
"Scotland ","8","8","793","1249","56",""
"Scott ","23","23","6258","11563","205",""
"Shannon ","8","8","1637","2075","125",""
"Shelby ","9","9","1114","2166","36",""
"St. Charles ","121","121","84163","102538","1793",""
"St. Clair ","19","19","1886","2981","121",""
"St. Francois ","27","27","11538","12659","349",""
"St. Louis City ","204","204","132486","24594","1259",""
"St. Louis County ","659","659","332085","221016","4980",""
"Ste. Genevieve ","14","14","4979","3732","114",""
"Stoddard ","21","21","3899","9172","191",""
"Stone ","22","22","5025","11137","211",""
"Sullivan ","14","14","1173","1607","89",""
"Taney ","24","24","6676","14714","245",""
"Texas ","11","11","3410","7213","226",""
"Vernon ","18","18","3379","5333","163",""
"Warren ","24","24","6705","8673","195",""
"Washington ","19","19","4712","4703","197",""
"Wayne ","20","20","2242","3784","127",""
"Webster ","14","14","5683","10427","240",""
"Worth ","8","8","427","707","40",""
"Wright ","10","10","2556","5780","173",""
