"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Beaverhead ","16","16","1611","2983","136",""
"Big Horn ","20","20","3490","1622","67",""
"Blaine ","10","10","1711","1138","83",""
"Broadwater ","5","5","854","1853","71",""
"Carbon ","16","16","2431","3093","192",""
"Carter ","4","4","111","573","31",""
"Cascade ","38","38","17486","16675","855",""
"Chouteau ","12","12","1118","1625","105",""
"Custer ","14","14","2262","3040","136",""
"Daniels ","5","5","343","692","36",""
"Dawson ","12","12","1587","2626","200",""
"Deer Lodge ","18","18","3341","1481","169",""
"Fallon ","6","6","318","1082","50",""
"Fergus ","16","16","1921","4100","190",""
"Flathead ","42","42","15976","25361","1971",""
"Gallatin ","46","46","23984","22375","1350",""
"Garfield ","7","7","109","595","19",""
"Glacier ","16","16","3361","1443","95",""
"Golden Valley ","2","2","122","342","23",""
"Granite ","4","4","601","1013","101",""
"Hill ","18","18","3563","2763","237",""
"Jefferson ","14","14","2574","3525","220",""
"Judith Basin ","4","4","396","799","38",""
"Lake ","22","22","6693","6463","638",""
"Lewis & Clark ","56","56","16939","14794","788",""
"Liberty ","4","4","367","594","40",""
"Lincoln ","14","14","3018","5699","494",""
"Madison ","8","8","1596","2803","137",""
"McCone ","3","3","321","726","44",""
"Meagher ","1","1","298","624","41",""
"Mineral ","6","6","844","1051","96",""
"Missoula ","101","101","35701","20266","1738",""
"Musselshell ","6","6","615","1552","87",""
"Park ","15","15","4140","4349","342",""
"Petroleum ","1","1","68","227","5",""
"Phillips ","13","13","638","1423","62",""
"Pondera ","8","8","1224","1583","72",""
"Powder River ","8","8","207","797","23",""
"Powell ","12","12","1021","1679","109",""
"Prairie ","4","4","211","503","21",""
"Ravalli ","22","22","8332","12922","676",""
"Richland ","15","15","1196","3158","129",""
"Roosevelt ","13","13","2527","1455","113",""
"Rosebud ","12","12","1898","1739","122",""
"Sanders ","10","10","1964","3556","315",""
"Sheridan ","6","6","953","987","66",""
"Silver Bow ","44","44","11651","4806","467",""
"Stillwater ","8","8","1512","2989","164",""
"Sweet Grass ","5","5","552","1433","46",""
"Teton ","5","5","1291","1873","104",""
"Toole ","7","7","736","1321","67",""
"Treasure ","3","3","154","310","16",""
"Valley ","11","11","1616","2099","143",""
"Wheatland ","5","5","286","632","35",""
"Wibaux ","1","1","146","379","36",""
"Yellowstone ","69","69","31740","36225","1878",""
