"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Adams ","28","28","4624","8163","215",""
"Antelope ","14","14","754","2367","36",""
"Arthur ","1","1","39","217","6",""
"Banner ","1","1","61","341","6",""
"Blaine ","1","1","43","266","7",""
"Boone ","10","10","742","2042","40",""
"Box Butte ","9","9","1844","2888","136",""
"Boyd ","4","4","250","839","20",""
"Brown ","4","4","311","1208","48",""
"Buffalo ","34","34","5768","12920","256",""
"Burt ","11","11","1406","1895","59",""
"Butler ","21","21","1175","2534","80",""
"Cass ","30","30","4709","7076","188",""
"Cedar ","17","17","1187","2912","65",""
"Chase ","6","6","341","1466","22",""
"Cherry ","21","21","599","2360","91",""
"Cheyenne ","10","10","1064","3284","65",""
"Clay ","12","12","761","2134","61",""
"Colfax ","6","6","1125","2014","51",""
"Cuming ","9","9","1255","2701","74",""
"Custer ","39","39","1178","4220","84",""
"Dakota ","14","14","2966","3255","93",""
"Dawes ","12","12","1245","2330","102",""
"Dawson ","20","20","2352","5368","111",""
"Deuel ","3","3","243","732","18",""
"Dixon ","12","12","946","1785","54",""
"Dodge ","32","32","6587","8482","240",""
"Douglas ","352","352","112460","104030","2734",""
"Dundy ","4","4","218","783","18",""
"Fillmore ","16","16","953","1907","54",""
"Franklin ","5","5","442","1078","27",""
"Frontier ","5","5","348","1030","19",""
"Furnas ","8","8","556","1725","45",""
"Gage ","28","28","4405","5389","211",""
"Garden ","5","5","283","844","11",""
"Garfield ","4","4","212","800","16",""
"Gosper ","4","4","260","771","11",""
"Grant ","7","7","41","321","6",""
"Greeley ","5","5","457","714","26",""
"Hall ","40","40","7687","12788","329",""
"Hamilton ","12","12","1322","3362","60",""
"Harlan ","9","9","399","1327","35",""
"Hayes ","3","3","85","460","7",""
"Hitchcock ","4","4","346","997","26",""
"Holt ","14","14","1065","3663","118",""
"Hooker ","2","2","75","355","8",""
"Howard ","9","9","1083","1847","56",""
"Jefferson ","11","11","1504","2091","65",""
"Johnson ","9","9","914","1139","42",""
"Kearney ","13","13","870","2217","46",""
"Keith ","12","12","965","2917","41",""
"Keya Paha ","4","4","115","409","7",""
"Kimball ","6","6","427","1328","24",""
"Knox ","9","9","1248","2724","87",""
"Lancaster ","223","223","63464","57925","1772",""
"Lincoln ","28","28","4937","10609","328",""
"Logan ","1","1","81","327","7",""
"Loup ","1","1","86","302","3",""
"Madison ","24","24","4076","9542","202",""
"McPherson ","1","1","45","240","8",""
"Merrick ","15","15","978","2356","56",""
"Morrill ","10","10","546","1700","62",""
"Nance ","6","6","540","1110","36",""
"Nemaha ","10","10","1207","2090","79",""
"Nuckolls ","9","9","692","1607","56",""
"Otoe ","17","17","2893","3991","116",""
"Pawnee ","6","6","481","857","38",""
"Perkins ","3","3","310","1086","15",""
"Phelps ","13","13","1043","3340","54",""
"Pierce ","6","6","781","2372","52",""
"Platte ","31","31","3734","9279","209",""
"Polk ","7","7","665","1810","45",""
"Red Willow ","16","16","1216","3748","77",""
"Richardson ","15","15","1121","1880","77",""
"Rock ","6","6","136","635","16",""
"Saline ","13","13","2597","2373","114",""
"Sarpy ","88","88","27663","38443","933",""
"Saunders ","19","19","3739","6132","203",""
"Scotts Bluff ","31","31","4645","9575","232",""
"Seward ","17","17","2671","4596","150",""
"Sheridan ","9","9","451","1934","53",""
"Sherman ","7","7","583","940","33",""
"Sioux ","2","2","116","600","12",""
"Stanton ","16","16","657","1772","37",""
"Thayer ","9","9","850","1729","41",""
"Thomas ","1","1","51","331","8",""
"Thurston ","9","9","1108","970","34",""
"Valley ","8","8","704","1647","52",""
"Washington ","16","16","3681","6409","169",""
"Wayne ","11","11","1249","2503","56",""
"Webster ","6","6","550","1323","32",""
"Wheeler ","2","2","96","334","7",""
"York ","15","15","1594","4807","88",""
