"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Carson City ","26","26","11622","11419","638",""
"Churchill ","19","19","3494","6831","279",""
"Clark ","1150","1150","379204","256401","13299",""
"Douglas ","41","41","10671","14645","584",""
"Elko ","41","41","4537","10958","509",""
"Esmeralda ","5","5","104","303","38",""
"Eureka ","4","4","144","564","37",""
"Humboldt ","15","15","1909","3584","169",""
"Lander ","9","9","574","1462","59",""
"Lincoln ","5","5","518","1498","91",""
"Lyon ","40","40","8405","12154","544",""
"Mineral ","12","12","1082","1131","94",""
"Nye ","33","33","7223","9535","728",""
"Pershing ","6","6","673","1075","88",""
"Storey ","15","15","1099","1245","69",""
"Washoe ","584","584","99395","76743","3856",""
"White Pine ","10","10","1230","2440","172",""
