"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Belknap ","16","16","16796","16402","267",""
"Carroll ","18","18","15204","13354","295",""
"Cheshire ","27","27","26971","15205","382",""
"Coos ","27","27","9681","6645","167",""
"Grafton ","41","41","31446","17687","475",""
"Hillsborough ","49","49","104516","97331","1770",""
"Merrimack ","38","38","45039","34006","610",""
"Rockingham ","41","41","83673","82102","1435",""
"Strafford ","27","27","37977","25008","548",""
"Sullivan ","17","17","13288","9197","171",""
