"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Atlantic ","163","163","62498","46244","1216",""
"Bergen ","553","553","208410","174526","3998",""
"Burlington ","365","365","121222","83078","2163",""
"Camden ","331","330","142433","68072","3023",""
"Cape May ","128","128","20510","24591","572",""
"Cumberland ","92","92","34355","22238","782",""
"Essex ","551","547","228944","72370","1769",""
"Gloucester ","226","226","76789","60017","1839",""
"Hudson ","451","451","141557","51478","1663",""
"Hunterdon ","114","114","29637","38966","974",""
"Mercer ","257","256","99719","47196","1742",""
"Middlesex ","597","597","179924","115969","3285",""
"Monmouth ","453","453","147424","159461","3419",""
"Morris ","395","395","101245","122706","2135",""
"Ocean ","384","384","109240","159480","3409",""
"Passaic ","281","281","110331","71850","1575",""
"Salem ","45","45","15909","14763","502",""
"Somerset ","263","263","73785","67221","1589",""
"Sussex ","119","119","28692","43998","1124",""
"Union ","438","438","132006","73967","1766",""
"Warren ","90","90","20421","27304","807",""
