"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Bernalillo ","423","423","168406","109212","3648",""
"Catron ","11","11","659","1396","50",""
"Chaves ","52","52","8160","13630","262",""
"Cibola ","25","25","3176","1717","73",""
"Colfax ","22","22","3465","2800","87",""
"Curry ","39","39","4655","9585","169",""
"DeBaca ","4","4","358","676","9",""
"Dona Ana ","115","115","38574","27211","891",""
"Eddy ","41","41","7289","12468","242",""
"Grant ","35","35","8092","5381","205",""
"Guadalupe ","5","5","1541","615","19",""
"Harding ","2","2","256","357","8",""
"Hidalgo ","6","6","990","934","22",""
"Lea ","45","45","5084","13301","189",""
"Lincoln ","21","21","3482","5906","157",""
"Los Alamos ","20","20","5709","4986","176",""
"Luna ","13","13","4289","3857","156",""
"McKinley ","64","64","15993","6183","247",""
"Mora ","13","13","2156","565","21",""
"Otero ","47","47","8602","12791","349",""
"Quay ","14","14","1546","2363","82",""
"Rio Arriba ","44","44","11245","3648","137",""
"Roosevelt ","23","23","2270","4285","105",""
"San Juan ","72","72","17645","27418","608",""
"San Miguel ","32","32","10128","2421","140",""
"Sandoval ","83","83","32102","24887","754",""
"Santa Fe ","88","88","53802","15443","818",""
"Sierra ","14","14","2351","3011","116",""
"Socorro ","28","28","4643","3011","166",""
"Taos ","36","36","13384","2827","202",""
"Torrance ","18","18","3068","3721","119",""
"Union ","8","8","492","1218","22",""
"Valencia ","35","35","15142","13033","393",""
