"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Albany ","345","345","86096","47629","2512",""
"Allegany ","40","40","6396","10308","318",""
"Bronx ","976","976","300327","38560","1724",""
"Brooklyn ","2032","2032","545785","139594","6209",""
"Broome ","190","190","43510","37773","1312",""
"Cattaraugus ","79","79","13858","16975","489",""
"Cayuga ","65","65","16667","14283","588",""
"Chautauqua ","122","122","26936","26593","989",""
"Chemung ","86","86","17706","18793","388",""
"Chenango ","42","42","9256","9708","366",""
"Clinton ","70","70","18232","11535","440",""
"Columbia ","58","58","15536","12851","489",""
"Cortland ","28","28","10616","8970","315",""
"Delaware ","59","59","8562","9765","361",""
"Dutchess ","249","245","64759","55601","1413",""
"Erie ","986","911","218645","154716","5769",""
"Essex ","42","42","9531","7189","252",""
"Franklin ","49","49","9593","6245","222",""
"Fulton ","49","49","9147","11537","337",""
"Genesee ","53","53","10029","14573","341",""
"Greene ","52","52","9611","11992","342",""
"Hamilton ","11","11","1060","1903","24",""
"Herkimer ","58","58","10920","13213","370",""
"Jefferson ","91","91","16222","18593","415",""
"Lewis ","31","31","4813","5700","121",""
"Livingston ","61","61","13446","15906","401",""
"Madison ","55","55","13299","13560","579",""
"Manhattan ","1247","1247","490634","79448","6223",""
"Monroe ","816","816","196564","139001","3966",""
"Montgomery ","48","48","8592","10428","557",""
"Nassau ","1142","1142","316523","272765","4740",""
"Niagara ","181","181","44105","43748","1453",""
"Oneida ","192","192","45531","46555","1514",""
"Onondaga ","459","459","118390","80476","3364",""
"Ontario ","92","92","22797","23000","673",""
"Orange ","321","321","73299","68896","1473",""
"Orleans ","40","40","6142","9166","260",""
"Oswego ","124","124","23192","21991","852",""
"Otsego ","57","57","12072","11059","438",""
"Putnam ","86","86","19371","23545","383",""
"Queens ","1495","1495","436398","144362","5710",""
"Rensselaer ","134","134","36550","31126","1212",""
"Rockland ","271","271","65134","58199","817",""
"Saint Lawrence ","102","102","21642","15972","503",""
"Saratoga ","196","196","51932","49734","1688",""
"Schenectady ","127","127","35529","28172","1306",""
"Schoharie ","27","27","5760","7520","269",""
"Schuyler ","17","17","3792","4431","120",""
"Seneca ","27","27","6903","6556","248",""
"Staten Island ","357","357","73192","80853","987",""
"Steuben ","85","85","15823","22690","413",""
"Suffolk ","1047","1047","318920","289236","6168",""
"Sullivan ","63","63","15850","13312","591",""
"Tioga ","48","48","9702","12077","295",""
"Tompkins ","74","74","26401","11004","645",""
"Ulster ","164","164","50300","31394","1344",""
"Warren ","70","70","14416","14422","435",""
"Washington ","52","52","11867","11717","399",""
"Wayne ","67","67","16831","21083","491",""
"Westchester ","1033","1030","248249","143086","3456",""
"Wyoming ","40","40","6035","10487","263",""
"Yates ","20","20","4390","4784","30",""
