"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Alamance ","39","39","28590","34501","433",""
"Alexander ","18","18","5153","11747","187",""
"Alleghany ","9","9","2017","3117","79",""
"Anson ","13","13","6293","4067","43",""
"Ashe ","19","19","4861","7885","193",""
"Avery ","21","21","2163","5617","40",""
"Beaufort ","23","23","9426","13437","100",""
"Bertie ","14","14","6248","3338","22",""
"Bladen ","19","19","7846","7530","65",""
"Brunswick ","25","25","21280","30662","332",""
"Buncombe ","82","82","69415","52236","875",""
"Burke ","35","35","14623","21766","272",""
"Cabarrus ","47","47","31191","45340","478",""
"Caldwell ","25","25","12007","22397","328",""
"Camden ","5","5","1587","3118","55",""
"Carteret ","36","36","11079","22868","198",""
"Caswell ","13","13","5466","5177","83",""
"Catawba ","42","42","25535","42843","486",""
"Chatham ","21","21","17783","14591","236",""
"Cherokee ","18","18","3748","8591","100",""
"Chowan ","8","8","3652","3751","32",""
"Clay ","11","11","1731","3692","60",""
"Cleveland ","30","30","17274","25950","222",""
"Columbus ","28","28","11088","12998","135",""
"Craven ","29","29","17335","23163","206",""
"Cumberland ","71","71","73926","51596","435",""
"Currituck ","13","13","3685","7159","78",""
"Dare ","18","18","7760","9621","130",""
"Davidson ","45","45","22192","45135","535",""
"Davie ","16","16","6102","13846","149",""
"Duplin ","21","21","8866","10734","76",""
"Durham ","59","59","102237","32040","642",""
"Edgecombe ","23","23","17365","8416","56",""
"Forsyth ","103","103","90712","73304","918",""
"Franklin ","20","20","13022","13183","194",""
"Gaston ","48","48","31247","52220","471",""
"Gates ","8","8","2827","2546","21",""
"Graham ","6","6","1265","2824","39",""
"Granville ","17","17","13010","11373","127",""
"Greene ","12","12","3774","4258","26",""
"Guilford ","160","160","141680","97511","1292",""
"Halifax ","32","32","15726","8867","47",""
"Harnett ","15","15","16519","23311","215",""
"Haywood ","31","31","12724","14902","235",""
"Henderson ","37","37","20062","30903","382",""
"Hertford ","15","15","7479","3083","24",""
"Hoke ","16","16","9133","6197","71",""
"Hyde ","9","9","1225","1203","11",""
"Iredell ","31","31","27201","44979","444",""
"Jackson ","19","19","8671","7793","129",""
"Johnston ","41","41","26475","43164","390",""
"Jones ","9","9","2364","2807","25",""
"Lee ","12","12","10703","12652","157",""
"Lenoir ","24","24","13157","13281","91",""
"Lincoln ","30","30","11674","23561","271",""
"Macon ","15","15","6603","10262","156",""
"Madison ","14","14","5011","5175","104",""
"Martin ","15","15","6488","5914","31",""
"McDowell ","19","19","6514","11382","169",""
"Mecklenburg ","198","198","252642","152957","1891",""
"Mitchell ","11","11","2220","5472","53",""
"Montgomery ","16","16","4870","6125","82",""
"Moore ","27","27","17534","27165","268",""
"Nash ","28","28","23013","23660","183",""
"New Hanover ","45","45","48588","50004","558",""
"Northampton ","20","20","6893","3662","34",""
"Onslow ","26","26","19296","29942","281",""
"Orange ","46","46","53712","20226","518",""
"Pamlico ","12","12","2820","3809","37",""
"Pasquotank ","15","15","10170","7720","72",""
"Pender ","22","22","9832","13517","149",""
"Perquimans ","9","9","2761","3674","29",""
"Person ","16","16","8410","10007","108",""
"Pitt ","40","40","39763","33429","251",""
"Polk ","9","9","4394","5986","122",""
"Randolph ","42","42","16280","40644","493",""
"Richmond ","18","18","9586","9316","116",""
"Robeson ","43","43","22315","16883","205",""
"Rockingham ","20","20","16730","22435","312",""
"Rowan ","46","46","23272","37284","476",""
"Rutherford ","19","19","9595","18631","196",""
"Sampson ","25","25","11753","13952","104",""
"Scotland ","12","12","8105","5972","33",""
"Stanly ","25","25","8815","19193","186",""
"Stokes ","22","22","6816","14335","256",""
"Surry ","31","31","10399","18574","220",""
"Swain ","7","7","2803","2896","49",""
"Transylvania ","20","20","7203","9299","146",""
"Tyrrell ","8","8","932","960","14",""
"Union ","51","51","31038","53882","528",""
"Vance ","18","18","13095","7584","65",""
"Wake ","200","200","247914","183291","2869",""
"Warren ","16","16","6663","2992","32",""
"Washington ","8","8","3734","2667","19",""
"Watauga ","22","22","14513","13303","231",""
"Wayne ","32","32","22507","26800","168",""
"Wilkes ","30","30","8889","20152","286",""
"Wilson ","26","26","19754","18338","128",""
"Yadkin ","14","14","4501","12355","139",""
"Yancey ","13","13","4470","5021","111",""
