"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Adams ","35","35","4041","6725","297",""
"Allen ","121","121","16575","26167","706",""
"Ashland ","65","65","9027","14788","692",""
"Ashtabula ","127","127","24233","18464","2043",""
"Athens ","69","69","19258","9107","602",""
"Auglaize ","40","40","6492","15938","349",""
"Belmont ","83","83","15986","15127","668",""
"Brown ","35","35","7280","11873","401",""
"Butler ","298","298","62871","101537","2303",""
"Carroll ","26","26","6302","6952","449",""
"Champaign ","28","28","7161","10919","351",""
"Clark ","100","100","29122","31821","1108",""
"Clermont ","200","200","30124","60287","1251",""
"Clinton ","38","38","6267","12037","323",""
"Columbiana ","103","103","21222","24891","987",""
"Coshocton ","43","43","7580","8583","489",""
"Crawford ","46","46","8045","12050","556",""
"Cuyahoga ","1436","1436","441836","196369","6804",""
"Darke ","43","43","7456","17226","493",""
"Defiance ","42","42","7394","9334","330",""
"Delaware ","131","131","35848","53670","954",""
"Erie ","62","62","22277","17080","639",""
"Fairfield ","125","125","28487","40708","1087",""
"Fayette ","26","26","4199","6931","183",""
"Franklin ","860","860","305447","205701","6596",""
"Fulton ","35","35","9627","11414","373",""
"Gallia ","35","35","4616","8047","292",""
"Geauga ","96","96","20692","28314","735",""
"Greene ","145","145","27162","39252","852",""
"Guernsey ","35","35","7369","8950","493",""
"Hamilton ","880","880","208802","187862","4103",""
"Hancock ","63","63","13357","21898","671",""
"Hardin ","38","38","4847","7553","340",""
"Harrison ","16","16","3495","3717","228",""
"Henry ","33","33","6163","8091","273",""
"Highland ","37","37","6437","11390","405",""
"Hocking ","34","34","6083","6201","331",""
"Holmes ","19","19","3074","7590","247",""
"Huron ","52","52","9461","10001","447",""
"Jackson ","36","36","5108","7837","363",""
"Jefferson ","82","82","17266","17216","729",""
"Knox ","58","58","10702","16207","557",""
"Lake ","215","215","54786","54441","1869",""
"Lawrence ","84","84","10956","15055","502",""
"Licking ","129","129","19768","30545","932",""
"Logan ","44","44","7615","13440","413",""
"Lorain ","235","235","77719","55031","2342",""
"Lucas ","495","495","134729","70865","3130",""
"Madison ","43","43","6193","10178","302",""
"Mahoning ","287","287","76356","44339","2475",""
"Marion ","84","84","12016","14840","664",""
"Medina ","151","151","24614","31785","890",""
"Meigs ","27","27","3990","5891","240",""
"Mercer ","41","41","5636","14730","306",""
"Miami ","82","82","10739","22217","709",""
"Monroe ","29","29","3623","2973","209",""
"Montgomery ","548","548","136110","123040","3641",""
"Morgan ","22","22","2921","3387","198",""
"Morrow ","33","33","5960","9787","379",""
"Muskingum ","85","85","17209","20174","779",""
"Noble ","27","27","2419","3387","240",""
"Ottawa ","44","44","11760","10417","396",""
"Paulding ","18","18","4043","5204","278",""
"Perry ","42","42","7128","7585","415",""
"Pickaway ","48","48","8229","13087","393",""
"Pike ","24","24","5833","6005","300",""
"Portage ","131","131","32160","26959","1184",""
"Preble ","45","45","6846","13340","432",""
"Putnam ","35","35","5169","12855","323",""
"Richland ","113","113","24473","32590","1296",""
"Ross ","76","76","13636","16027","605",""
"Sandusky ","72","72","15101","13935","569",""
"Scioto ","92","92","14470","16472","637",""
"Seneca ","52","52","12751","13588","524",""
"Shelby ","35","35","6777","15005","394",""
"Stark ","364","364","66712","63283","2823",""
"Summit ","475","475","151932","107937","3380",""
"Trumbull ","273","273","62254","39319","2522",""
"Tuscarawas ","81","81","20957","19940","973",""
"Union ","46","46","8348","15049","407",""
"Van Wert ","39","39","5046","8993","301",""
"Vinton ","20","20","2405","2962","158",""
"Warren ","172","172","32372","69741","1096",""
"Washington ","56","56","12082","16638","535",""
"Wayne ","96","96","21144","28730","1062",""
"Williams ","46","46","7892","9618","338",""
"Wood ","97","97","32956","28819","1048",""
"Wyandot ","27","27","4362","6190","242",""
