"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Adair ","18","18","2049","4636","0",""
"Alfalfa ","11","11","411","2023","0",""
"Atoka ","15","15","1370","3509","0",""
"Beaver ","9","9","265","2197","0",""
"Beckham ","13","13","1625","5769","0",""
"Blaine ","11","11","1011","3100","0",""
"Bryan ","29","29","4423","9295","0",""
"Caddo ","25","25","3395","6401","0",""
"Canadian ","53","53","11422","36411","0",""
"Carter ","28","28","5603","13241","0",""
"Cherokee ","26","26","7193","9182","0",""
"Choctaw ","18","18","1859","3729","0",""
"Cimarron ","7","7","152","1119","0",""
"Cleveland ","91","91","39673","64730","0",""
"Coal ","12","12","570","1609","0",""
"Comanche ","43","43","14120","20127","0",""
"Cotton ","12","12","690","1793","0",""
"Craig ","17","17","2072","3858","0",""
"Creek ","43","43","8318","20181","0",""
"Custer ","13","13","2660","7842","0",""
"Delaware ","22","22","5084","10274","0",""
"Dewey ","11","11","346","1857","0",""
"Ellis ","10","10","282","1627","0",""
"Garfield ","33","33","5545","17066","0",""
"Garvin ","24","24","3028","7708","0",""
"Grady ","42","42","5516","15187","0",""
"Grant ","10","10","514","1836","0",""
"Greer ","16","16","566","1548","0",""
"Harmon ","8","8","333","757","0",""
"Harper ","9","9","221","1342","0",""
"Haskell ","17","17","1474","3206","0",""
"Hughes ","16","16","1705","3132","0",""
"Jackson ","19","19","2263","6716","0",""
"Jefferson ","11","11","805","1649","0",""
"Johnston ","13","13","1246","2707","0",""
"Kay ","34","34","5462","13229","0",""
"Kingfisher ","17","17","1009","5372","0",""
"Kiowa ","14","14","1226","2536","0",""
"Latimer ","13","13","1313","2857","0",""
"LeFlore ","39","39","5136","11603","0",""
"Lincoln ","23","23","3503","10468","0",""
"Logan ","23","23","5716","12555","0",""
"Love ","13","13","1257","2589","0",""
"Major ","14","14","515","2955","0",""
"Marshall ","12","12","1642","3729","0",""
"Mayes ","26","26","5749","10231","0",""
"McClain ","26","26","3550","11184","0",""
"McCurtain ","32","32","2792","7744","0",""
"McIntosh ","17","17","3318","4903","0",""
"Murray ","12","12","1592","3746","0",""
"Muskogee ","33","33","11286","15276","0",""
"Noble ","17","17","1174","3881","0",""
"Nowata ","12","12","1411","3029","0",""
"Okfuskee ","16","16","1478","2642","0",""
"Oklahoma ","305","305","116133","163099","0",""
"Okmulgee ","34","34","6187","8724","0",""
"Osage ","31","31","7493","12150","0",""
"Ottawa ","20","20","4266","6904","0",""
"Pawnee ","12","12","2063","4533","0",""
"Payne ","39","39","10601","18435","0",""
"Pittsburg ","49","49","5454","11739","0",""
"Pontotoc ","26","26","4511","9749","0",""
"Pottawatomie ","31","31","7906","17728","0",""
"Pushmataha ","17","17","1265","3208","0",""
"Roger Mills ","10","10","286","1502","0",""
"Rogers ","34","34","10770","27732","0",""
"Seminole ","16","16","2977","5599","0",""
"Sequoyah ","33","33","4454","9465","0",""
"Stephens ","29","29","4538","14392","0",""
"Texas ","16","16","923","5332","0",""
"Tillman ","10","10","1042","2195","0",""
"Tulsa ","273","273","96106","158322","0",""
"Wagoner ","38","38","8805","21426","0",""
"Washington ","24","24","6308","16457","0",""
"Washita ","13","13","1050","3716","0",""
"Woods ","8","8","870","3043","0",""
"Woodward ","15","15","1348","6402","0",""
