"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Baker ","5","5","2795","5643","235",""
"Benton ","23","23","29421","15036","962",""
"Clackamas ","104","104","95237","76161","3066",""
"Clatsop ","10","10","10579","7113","481",""
"Columbia ","14","14","13253","10351","698",""
"Coos ","18","18","14270","15236","885",""
"Crook ","6","6","3623","6348","272",""
"Curry ","7","7","5216","6626","338",""
"Deschutes ","44","44","38612","38918","1388",""
"Douglas ","31","31","19153","28635","1127",""
"Gilliam ","1","1","429","642","26",""
"Grant ","2","2","980","2670","82",""
"Harney ","2","2","946","2592","111",""
"Hood River ","5","5","6229","3240","207",""
"Jackson ","56","56","47664","47806","2022",""
"Jefferson ","5","5","3648","4360","177",""
"Josephine ","24","24","17338","22926","1232",""
"Klamath ","17","17","9115","18682","701",""
"Lake ","2","2","954","2631","79",""
"Lane ","97","97","104010","58149","3283",""
"Lincoln ","13","13","13991","8649","603",""
"Linn ","29","29","21702","27576","1261",""
"Malheur ","6","6","2922","7099","251",""
"Marion ","70","70","55610","53174","2383",""
"Morrow ","2","2","1398","2501","108",""
"Multnomah ","198","164","264741","71084","7053",""
"Polk ","19","19","17046","17272","687",""
"Sherman ","1","1","382","632","20",""
"Tillamook ","7","7","7018","5732","351",""
"Umatilla ","15","15","9400","15126","576",""
"Union ","7","7","4612","7563","289",""
"Wallowa ","2","2","1490","2832","95",""
"Wasco ","6","6","5649","4900","268",""
"Washington ","127","127","128402","80203","3784",""
"Wheeler ","1","1","276","497","26",""
"Yamhill ","24","24","20494","21068","981",""
