"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Adams ","49","49","17475","26134","507",""
"Allegheny ","1321","1321","368453","269819","5880",""
"Armstrong ","74","74","10729","17715","392",""
"Beaver ","129","129","39738","42358","1069",""
"Bedford ","40","40","6001","15928","258",""
"Berks ","193","193","91803","75868","2326",""
"Blair ","97","97","18798","30812","547",""
"Bradford ","61","61","10202","14911","419",""
"Bucks ","304","304","178345","149860","3644",""
"Butler ","89","89","29882","52294","999",""
"Cambria ","165","165","30697","29981","1176",""
"Cameron ","10","10","802","1239","109",""
"Carbon ","45","45","13235","12646","493",""
"Centre ","89","89","41141","32543","810",""
"Chester ","224","224","135150","112266","2051",""
"Clarion ","41","41","6415","10126","242",""
"Clearfield ","71","71","14549","18656","596",""
"Clinton ","34","34","6799","7126","181",""
"Columbia ","42","42","12597","13704","334",""
"Crawford ","67","67","15684","19265","544",""
"Cumberland ","107","107","45355","59693","1190",""
"Dauphin ","159","159","69352","57964","1310",""
"Delaware ","425","425","170949","109766","2744",""
"Elk ","32","32","6910","6252","292",""
"Erie ","155","155","74206","49284","1534",""
"Fayette ","105","105","25509","25669","607",""
"Forest ","9","9","1014","1366","40",""
"Franklin ","75","75","21052","41711","560",""
"Fulton ","13","13","1562","4612","88",""
"Greene ","44","44","7365","7451","243",""
"Huntingdon ","58","58","6611","11724","265",""
"Indiana ","69","69","16964","19617","507",""
"Jefferson ","37","37","6132","11248","284",""
"Juniata ","20","20","3055","6463","159",""
"Lackawanna ","163","163","67112","39198","858",""
"Lancaster ","237","237","97290","124475","1943",""
"Lawrence ","106","106","19371","21496","522",""
"Lebanon ","55","55","22004","32325","628",""
"Lehigh ","151","151","86226","62668","1993",""
"Luzerne ","189","189","71903","60512","1544",""
"Lycoming ","86","86","18335","30215","574",""
"McKean ","42","42","6186","8835","249",""
"Mercer ","100","100","24319","24321","805",""
"Mifflin ","30","30","5364","10904","197",""
"Monroe ","50","50","36655","25892","639",""
"Montgomery ","413","413","249493","163030","3466",""
"Montour ","15","15","3347","4555","85",""
"Northampton ","151","151","74956","58352","1775",""
"Northumberland ","94","94","13555","18012","569",""
"Perry ","32","32","6384","13032","290",""
"Philadelphia ","1681","1681","574930","113260","3972",""
"Pike ","18","18","11448","12456","286",""
"Potter ","33","33","2277","5073","98",""
"Schuylkill ","167","167","28187","33682","987",""
"Snyder ","25","25","5375","9895","197",""
"Somerset ","68","68","12437","20925","589",""
"Sullivan ","15","15","1228","1840","46",""
"Susquehanna ","43","43","8314","10551","269",""
"Tioga ","43","43","6012","10542","249",""
"Union ","27","27","7207","9720","203",""
"Venango ","48","48","8708","12817","332",""
"Warren ","33","33","8669","9824","307",""
"Washington ","184","184","44286","48753","1128",""
"Wayne ","37","37","9824","12618","239",""
"Westmoreland ","306","306","69004","96786","1770",""
"Wyoming ","30","30","5631","6494","161",""
"York ","159","159","81748","107367","2076",""
