"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Abbeville ","19","19","4586","6224","144",""
"Aiken ","78","78","25982","42706","814",""
"Allendale ","13","13","3017","940","58",""
"Anderson ","81","81","23807","48389","962",""
"Bamberg ","18","18","4402","2306","79",""
"Barnwell ","20","20","4926","4769","98",""
"Beaufort ","89","89","30363","37777","652",""
"Berkeley ","55","55","27657","36097","821",""
"Calhoun ","17","17","3964","3691","73",""
"Charleston ","187","187","82280","69521","1908",""
"Cherokee ","38","38","7191","13266","246",""
"Chester ","27","27","7405","6278","185",""
"Chesterfield ","34","34","7840","8323","192",""
"Clarendon ","30","30","8347","6211","113",""
"Colleton ","37","37","8576","8500","180",""
"Darlington ","37","37","14475","14532","285",""
"Dillon ","25","25","7406","5873","135",""
"Dorchester ","54","54","21691","29785","668",""
"Edgefield ","17","17","5072","6332","111",""
"Fairfield ","27","27","7591","3912","116",""
"Florence ","68","68","26491","27611","494",""
"Georgetown ","39","39","14053","15694","298",""
"Greenville ","144","144","70618","115822","3388",""
"Greenwood ","46","46","12219","16804","323",""
"Hampton ","23","23","5811","3438","94",""
"Horry ","123","123","38575","64197","1305",""
"Jasper ","19","19","5267","3363","100",""
"Kershaw ","39","39","11149","16370","293",""
"Lancaster ","34","34","12089","16383","341",""
"Laurens ","39","39","10565","15314","370",""
"Lee ","27","27","5958","3073","119",""
"Lexington ","93","93","31540","70197","1127",""
"Marion ","22","22","9575","5410","150",""
"Marlboro ","20","20","6699","3948","85",""
"McCormick ","15","15","2747","2436","40",""
"Newberry ","35","35","6689","9607","200",""
"Oconee ","35","35","9475","21157","487",""
"Orangeburg ","58","58","26978","12037","369",""
"Pickens ","57","57","11640","32453","836",""
"Richland ","130","130","104029","57234","1434",""
"Saluda ","23","23","3308","5168","89",""
"Spartanburg ","97","97","40855","63385","1609",""
"Sumter ","63","63","22594","15945","302",""
"Union ","28","28","5925","7447","167",""
"Williamsburg ","33","33","11257","4989","133",""
"York ","78","78","37437","53842","1260",""
