"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Aurora ","7","7","655","794","46",""
"Beadle ","14","14","3493","4054","167",""
"Bennett ","8","8","557","614","37",""
"Bon Homme ","5","5","1367","1712","96",""
"Brookings ","15","15","7207","6431","307",""
"Brown ","22","22","9041","8067","318",""
"Brule ","5","5","965","1407","67",""
"Buffalo ","3","3","454","156","9",""
"Butte ","16","16","1306","2821","129",""
"Campbell ","5","5","243","591","20",""
"Charles Mix ","13","13","1807","2109","62",""
"Clark ","13","13","830","1065","45",""
"Clay ","11","11","3808","2296","138",""
"Codington ","33","33","5595","6374","216",""
"Corson ","17","17","837","535","34",""
"Custer ","10","10","1475","2909","123",""
"Davison ","21","21","3554","4731","170",""
"Day ","14","14","1785","1372","48",""
"Deuel ","11","11","1054","1088","76",""
"Dewey ","13","13","1326","658","32",""
"Douglas ","5","5","424","1293","39",""
"Edmunds ","7","7","819","1213","44",""
"Fall River ","16","16","1338","2348","123",""
"Faulk ","7","7","426","739","27",""
"Grant ","18","18","1786","1951","93",""
"Gregory ","3","3","771","1423","53",""
"Haakon ","6","6","186","938","27",""
"Hamlin ","7","7","1043","1661","83",""
"Hand ","10","10","718","1247","46",""
"Hanson ","5","5","961","1426","44",""
"Harding ","10","10","135","575","24",""
"Hughes ","15","15","3037","5298","133",""
"Hutchinson ","7","7","1242","2285","81",""
"Hyde ","5","5","226","547","12",""
"Jackson ","8","8","435","668","30",""
"Jerauld ","5","5","535","535","17",""
"Jones ","3","3","147","463","17",""
"Kingsbury ","6","6","1277","1435","72",""
"Lake ","10","10","3033","2993","131",""
"Lawrence ","12","12","4932","6787","336",""
"Lincoln ","29","29","8642","11803","322",""
"Lyman ","7","7","710","894","37",""
"Marshall ","9","9","1261","900","30",""
"McCook ","6","6","1219","1646","80",""
"McPherson ","6","6","441","915","19",""
"Meade ","37","37","3749","7515","340",""
"Mellette ","4","4","373","445","25",""
"Miner ","8","8","605","577","36",""
"Minnehaha ","70","70","39831","39241","1463",""
"Moody ","6","6","1663","1508","83",""
"Pennington ","48","48","17787","27592","875",""
"Perkins ","10","10","499","1102","85",""
"Potter ","6","6","482","937","21",""
"Roberts ","14","14","2672","1781","83",""
"Sanborn ","7","7","500","669","38",""
"Shannon ","10","10","2967","330","48",""
"Spink ","9","9","1550","1660","59",""
"Stanley ","8","8","510","1017","26",""
"Sully ","4","4","233","581","19",""
"Todd ","9","9","2208","571","49",""
"Tripp ","13","13","914","1859","66",""
"Turner ","8","8","1681","2538","133",""
"Union ","13","13","3244","4310","147",""
"Walworth ","15","15","923","1668","59",""
"Yankton ","14","14","4838","5039","257",""
"Ziebach ","8","8","554","312","25",""
