"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Anderson ","29","29","11385","19614","498",""
"Bedford ","18","18","5026","10215","263",""
"Benton ","6","6","2644","3695","138",""
"Bledsoe ","15","15","1517","3166","101",""
"Blount ","52","52","15252","35553","821",""
"Bradley ","17","17","9353","28324","501",""
"Campbell ","21","21","3866","6535","226",""
"Cannon ","9","9","2010","3320","124",""
"Carroll ","22","22","3980","7454","211",""
"Carter ","21","21","5587","15849","330",""
"Cheatham ","9","9","5497","10697","228",""
"Chester ","11","11","1794","4586","75",""
"Claiborne ","18","18","3078","7174","167",""
"Clay ","7","7","1248","1674","71",""
"Cocke ","19","19","3339","8945","192",""
"Coffee ","24","24","7128","13239","408",""
"Crockett ","12","12","1818","3749","69",""
"Cumberland ","26","26","7889","17436","387",""
"Davidson ","169","169","158032","102702","3143",""
"Decatur ","13","13","1595","3178","99",""
"DeKalb ","16","16","2832","4085","148",""
"Dickson ","18","18","7504","11672","336",""
"Dyer ","16","16","4411","9859","180",""
"Fayette ","17","17","6888","12158","189",""
"Fentress ","13","13","1831","4789","119",""
"Franklin ","18","18","6609","10533","280",""
"Gibson ","36","36","7406","13516","331",""
"Giles ","14","14","4614","6902","173",""
"Grainger ","10","10","2065","5297","140",""
"Greene ","39","39","7107","17148","410",""
"Grundy ","13","13","1969","2561","98",""
"Hamblen ","17","17","6804","15501","354",""
"Hamilton ","135","135","64205","81666","1571",""
"Hancock ","7","7","604","1587","49",""
"Hardeman ","13","13","5919","5225","93",""
"Hardin ","18","18","2794","7076","164",""
"Hawkins ","26","26","5924","14745","354",""
"Haywood ","15","15","4891","3165","63",""
"Henderson ","15","15","3021","7669","144",""
"Henry ","13","13","5152","8182","210",""
"Hickman ","18","18","3563","4784","151",""
"Houston ","7","7","1678","1608","68",""
"Humphreys ","9","9","3600","3818","162",""
"Jackson ","17","17","2284","2185","102",""
"Jefferson ","11","11","5177","13092","262",""
"Johnson ","12","12","1837","4620","133",""
"Knox ","96","96","67923","109847","2786",""
"Lake ","4","4","1024","1175","39",""
"Lauderdale ","16","16","4322","4933","83",""
"Lawrence ","29","29","5160","10565","293",""
"Lewis ","9","9","1803","2951","79",""
"Lincoln ","22","22","3694","9226","204",""
"Loudon ","14","14","6058","15815","311",""
"Macon ","10","10","2060","5145","155",""
"Madison ","33","33","20027","23289","342",""
"Marion ","20","20","4506","6746","185",""
"Marshall ","9","9","4319","6755","214",""
"Maury ","21","21","13057","20282","421",""
"McMinn ","15","15","5539","12984","259",""
"McNairy ","17","17","3131","7134","156",""
"Meigs ","6","6","1371","2795","68",""
"Monroe ","13","13","5049","11478","240",""
"Montgomery ","24","24","25634","30103","624",""
"Moore ","5","5","881","2010","61",""
"Morgan ","12","12","1969","4717","136",""
"Obion ","12","12","4308","8873","211",""
"Overton ","13","13","3418","4495","176",""
"Perry ","12","12","1329","1596","75",""
"Pickett ","9","9","854","1786","31",""
"Polk ","11","11","2124","4267","110",""
"Putnam ","44","44","9735","17098","476",""
"Rhea ","15","15","2905","8033","157",""
"Roane ","25","25","7222","15643","393",""
"Robertson ","19","19","9318","17903","393",""
"Rutherford ","48","48","40412","59850","1383",""
"Scott ","10","10","1720","4931","132",""
"Sequatchie ","10","10","1717","3606","110",""
"Sevier ","20","20","8597","24915","421",""
"Shelby ","274","274","253633","143422","2391",""
"Smith ","8","8","2990","4561","186",""
"Stewart ","9","9","2470","2956","81",""
"Sullivan ","29","29","18346","44802","835",""
"Sumner ","36","36","21486","44947","792",""
"Tipton ","13","13","7911","17114","219",""
"Trousdale ","10","10","1474","1687","76",""
"Unicoi ","8","8","2106","5011","105",""
"Union ","9","9","1828","4461","103",""
"Van Buren ","7","7","849","1293","63",""
"Warren ","21","21","5515","8558","323",""
"Washington ","40","40","15894","32216","700",""
"Wayne ","14","14","1355","4075","96",""
"Weakley ","10","10","4594","8853","239",""
"White ","11","11","3369","6100","172",""
"Williamson ","39","39","27879","64843","900",""
"Wilson ","36","36","15462","33767","660",""
