"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Anderson ","25","25","4624","11855","115",""
"Andrews ","5","5","790","3815","18",""
"Angelina ","47","47","9377","19569","189",""
"Aransas ","7","7","3005","6691","79",""
"Archer ","15","15","739","3591","26",""
"Armstrong ","8","8","128","856","6",""
"Atascosa ","24","24","4400","5546","47",""
"Austin ","19","19","2819","8777","72",""
"Bailey ","5","5","680","1618","14",""
"Bandera ","11","11","2248","6934","83",""
"Bastrop ","22","22","11678","13797","318",""
"Baylor ","5","5","366","1262","15",""
"Bee ","18","18","3645","4467","39",""
"Bell ","50","50","40185","49066","537",""
"Bexar ","623","623","275023","245932","3598",""
"Blanco ","9","9","1466","3417","33",""
"Borden ","8","8","40","316","5",""
"Bosque ","17","17","1796","5760","87",""
"Bowie ","37","37","10801","24136","173",""
"Brazoria ","72","72","36461","67444","726",""
"Brazos ","83","83","20459","37403","596",""
"Brewster ","8","8","1819","1781","48",""
"Briscoe ","6","6","205","616","7",""
"Brooks ","9","9","1747","556","6",""
"Brown ","19","19","2819","12049","121",""
"Burleson ","16","16","2053","4546","59",""
"Burnet ","25","25","4596","12034","190",""
"Caldwell ","27","27","5385","6084","106",""
"Calhoun ","26","26","2727","4106","34",""
"Callahan ","8","8","1063","4589","59",""
"Cameron ","99","99","48401","26641","457",""
"Camp ","5","5","1733","2794","35",""
"Carson ","10","10","406","2547","21",""
"Cass ","21","21","3489","8276","72",""
"Castro ","10","10","719","1561","8",""
"Chambers ","14","14","3185","9966","100",""
"Cherokee ","29","29","4605","11693","84",""
"Childress ","5","5","497","1782","17",""
"Clay ","17","17","1085","4213","34",""
"Cochran ","6","6","284","758","14",""
"Coke ","5","5","297","1252","15",""
"Coleman ","6","6","643","3011","43",""
"Collin ","163","163","108208","184116","2161",""
"Collingsworth ","8","8","292","1052","20",""
"Colorado ","13","13","2503","5790","38",""
"Comal ","24","24","12365","35203","392",""
"Comanche ","17","17","1339","3807","55",""
"Concho ","9","9","257","807","11",""
"Cooke ","26","26","3051","11871","102",""
"Coryell ","21","21","6611","11537","132",""
"Cottle ","6","6","187","509","9",""
"Crane ","5","5","319","1119","16",""
"Crockett ","5","5","512","1026","7",""
"Crosby ","5","5","684","1221","9",""
"Culberson ","6","6","510","267","8",""
"Dallam ","10","10","302","1267","15",""
"Dallas ","709","709","424468","309477","4351",""
"Dawson ","12","12","1135","2894","32",""
"De Witt ","12","12","1715","4888","22",""
"Deaf Smith ","5","5","1246","3456","28",""
"Delta ","9","9","589","1580","18",""
"Denton ","123","123","90830","149592","1693",""
"Dickens ","7","7","234","730","8",""
"Dimmit ","8","8","2692","874","17",""
"Donley ","7","7","291","1370","25",""
"Duval ","12","12","3298","1076","35",""
"Eastland ","10","10","1271","5163","68",""
"Ector ","36","36","9118","26190","240",""
"Edwards ","6","6","346","673","12",""
"El Paso ","171","171","121589","61598","1149",""
"Ellis ","46","46","15315","38046","345",""
"Erath ","21","21","3126","10757","103",""
"Falls ","14","14","1958","2975","36",""
"Fannin ","20","20","3464","8090","101",""
