"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Beaver ","7","7","509","1786","65",""
"Box Elder ","54","54","3080","14340","485",""
"Cache ","83","83","9806","27799","1816",""
"Carbon ","23","23","3368","3960","210",""
"Daggett ","5","5","129","294","11",""
"Davis ","186","186","28831","73317","2884",""
"Duchesne ","24","24","897","4592","138",""
"Emery ","13","13","965","3338","115",""
"Garfield ","10","10","402","1663","37",""
"Grand ","14","14","1981","1787","132",""
"Iron ","48","48","3078","11786","615",""
"Juab ","17","17","730","2647","189",""
"Kane ","16","16","850","2194","86",""
"Millard ","17","17","733","3565","321",""
"Morgan ","13","13","674","3219","158",""
"Piute ","6","6","141","635","22",""
"Rich ","5","5","154","829","21",""
"Salt Lake ","989","989","161696","163579","9089",""
"San Juan ","20","20","2322","2586","84",""
"Sanpete ","21","21","1449","6036","416",""
"Sevier ","23","23","1320","6222","246",""
"Summit ","48","48","9194","6691","313",""
"Tooele ","49","49","5349","10201","460",""
"Uintah ","26","26","1407","8113","241",""
"Utah ","251","251","26276","111273","5043",""
"Wasatch ","24","24","2818","5271","201",""
"Washington ","91","91","9251","33594","1235",""
"Wayne ","8","8","333","930","38",""
"Weber ","154","154","24028","43250","1719",""
