"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Addison ","23","23","13232","5652","278",""
"Bennington ","16","16","12523","6116","364",""
"Caledonia ","17","17","8899","5470","281",""
"Chittenden ","24","24","44347","19850","825",""
"Essex ","13","13","1731","1218","129",""
"Franklin ","15","15","13180","7853","350",""
"Grand Isle ","5","5","2694","1490","72",""
"Lamoille ","10","10","8914","3515","185",""
"Orange ","17","17","9777","5043","266",""
"Orleans ","19","19","7992","4478","261",""
"Rutland ","31","31","19355","11584","561",""
"Washington ","22","22","22304","9120","620",""
"Windham ","24","24","17580","5997","376",""
"Windsor ","24","24","21424","9072","498",""
