"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Adams ","11","9","1346","2822","73",""
"Asotin ","23","21","4114","5407","190",""
"Benton ","160","156","23366","40244","1087",""
"Chelan ","73","73","13678","17484","567",""
"Clallam ","86","75","17512","15978","695",""
"Clark ","361","361","93541","82631","3117",""
"Columbia ","5","4","667","1447","41",""
"Cowlitz ","103","78","18944","13969","745",""
"Douglas ","35","23","4631","7048","187",""
"Ferry ","8","5","1386","1817","103",""
"Franklin ","44","41","6536","10787","258",""
"Garfield ","3","3","384","966","20",""
"Grant ","61","61","9364","16756","664",""
"Grays Harbor ","69","69","15759","11614","699",""
"Island ","90","90","21688","19070","661",""
"Jefferson ","41","41","12914","6195","392",""
"King ","2058","1934","545329","217589","11218",""
"Kitsap ","270","243","61255","47456","2043",""
"Kittitas ","39","39","7887","9320","362",""
"Klickitat ","23","23","4871","4868","249",""
"Lewis ","78","65","11719","17293","651",""
"Lincoln ","13","13","2024","3794","142",""
"Mason ","61","61","14934","12512","650",""
"Okanogan ","39","30","6163","6942","344",""
"Pacific ","25","25","6066","4531","285",""
"Pend Oreille ","15","15","2546","3704","271",""
"Pierce ","764","626","143491","111851","4581",""
"San Juan ","22","21","7172","2889","186",""
"Skagit ","122","122","28145","23031","1023",""
"Skamania ","12","10","2797","2513","148",""
"Snohomish ","695","681","177471","120064","5850",""
"Spokane ","485","485","102164","105059","5183",""
"Stevens ","50","41","6386","9308","448",""
"Thurston ","275","269","69999","44565","2170",""
"Wahkiakum ","5","4","1112","1100","68",""
"Walla Walla ","59","44","7539","10632","314",""
"Whatcom ","215","199","53313","36635","1635",""
"Whitman ","38","29","6935","6408","303",""
"Yakima ","183","183","32484","40877","1279",""
