"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Barbour ","23","23","2415","3678","128",""
"Berkeley ","66","66","15945","20779","455",""
"Boone ","37","37","4490","3603","204",""
"Braxton ","22","22","2691","2618","75",""
"Brooke ","27","27","4666","4932","177",""
"Cabell ","72","72","15110","18571","501",""
"Calhoun ","10","10","976","1345","70",""
"Clay ","13","13","1417","1748","89",""
"Doddridge ","12","12","732","2205","65",""
"Fayette ","39","39","7134","7578","291",""
"Gilmer ","12","12","1117","1578","83",""
"Grant ","15","15","987","3150","55",""
"Greenbrier ","29","29","5561","7347","266",""
"Hampshire ","23","23","2968","5197","141",""
"Hancock ","28","28","5285","7257","190",""
"Hardy ","14","14","1880","3360","124",""
"Harrison ","85","85","13488","17715","463",""
"Jackson ","36","36","4821","7066","213",""
"Jefferson ","31","31","11606","10526","251",""
"Kanawha ","160","160","40148","40588","924",""
"Lewis ","24","24","2096","4312","158",""
"Lincoln ","35","35","2972","3556","166",""
"Logan ","35","35","4862","6297","238",""
"Marion ","77","77","11507","11389","478",""
"Marshall ","45","45","5943","7709","243",""
"Mason ","38","38","4444","5822","266",""
"McDowell ","43","43","3410","2852","117",""
"Mercer ","60","60","7388","13167","324",""
"Mineral ","32","32","3717","7546","178",""
"Mingo ","39","39","3567","4565","167",""
"Monongalia ","72","72","16853","15612","535",""
"Monroe ","18","18","1969","3344","163",""
"Morgan ","13","13","2704","4408","127",""
"Nicholas ","28","28","6007","6115","272",""
"Ohio ","39","39","8481","10590","253",""
"Pendleton ","13","13","1049","1605","41",""
"Pleasants ","11","11","1127","1753","60",""
"Pocahontas ","15","15","1538","1993","82",""
"Preston ","35","35","4190","7299","264",""
"Putnam ","48","48","9424","15295","285",""
"Raleigh ","63","63","10115","17358","467",""
"Randolph ","27","27","4527","6051","231",""
"Ritchie ","15","15","989","2753","65",""
"Roane ","20","20","2506","2936","109",""
"Summers ","15","15","2276","2875","134",""
"Taylor ","18","18","2420","3518","134",""
"Tucker ","11","11","1280","2118","96",""
"Tyler ","12","12","1234","2390","84",""
"Upshur ","29","29","2896","5870","131",""
"Wayne ","37","37","6101","8890","340",""
"Webster ","14","14","1543","1374","112",""
"Wetzel ","22","22","2919","3318","166",""
"Wirt ","9","9","777","1482","46",""
"Wood ","85","85","12446","22670","515",""
"Wyoming ","36","36","2724","4605","174",""
