"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Adams ","20","20","5808","3976","167",""
"Ashland ","26","26","5697","2507","96",""
"Barron ","36","36","12076","10456","301",""
"Bayfield ","28","28","5978","3316","102",""
"Brown ","92","92","67241","55827","1410",""
"Buffalo ","23","23","3979","2946","124",""
"Burnett ","24","24","4337","4200","129",""
"Calumet ","33","33","13296","12720","407",""
"Chippewa ","40","40","16236","13489","462",""
"Clark ","51","51","7450","6337","293",""
"Columbia ","37","37","16658","12189","342",""
"Crawford ","27","27","5124","2905","127",""
"Dane ","234","234","202812","71829","3342",""
"Dodge ","54","54","19178","23013","543",""
"Door ","33","33","10142","7112","190",""
"Douglas ","31","31","15827","7833","345",""
"Dunn ","35","35","13055","9616","353",""
"Eau Claire ","57","57","33143","20944","793",""
"Florence ","8","8","1134","1512","33",""
"Fond du Lac ","75","75","23457","28155","601",""
"Forest ","18","18","2671","1960","46",""
"Grant ","55","55","14911","9109","326",""
"Green ","26","26","11499","6730","250",""
"Green Lake ","16","16","3998","5392","128",""
"Iowa ","35","35","8076","3915","133",""
"Iron ","19","19","1915","1470","46",""
"Jackson ","27","27","5572","3550","117",""
"Jefferson ","42","42","21448","21095","526",""
"Juneau ","29","29","6209","5187","167",""
"Kenosha ","96","96","45615","31237","1074",""
"Kewaunee ","14","14","5902","4711","144",""
"La Crosse ","42","42","38514","23698","798",""
"Lafayette ","28","28","4732","2984","106",""
"Langlade ","27","27","5182","5081","117",""
"Lincoln ","25","25","8419","6510","261",""
"Manitowoc ","42","42","22421","19231","656",""
"Marathon ","141","141","36363","30339","1071",""
"Marinette ","30","30","11124","9705","286",""
"Marquette ","19","19","4051","3625","109",""
"Menominee ","1","1","1257","185","5",""
"Milwaukee ","487","487","316916","147573","4777",""
"Monroe ","34","34","10178","8657","248",""
"Oconto ","29","29","9926","8754","254",""
"Oneida ","29","29","11905","9627","332",""
"Outagamie ","97","97","50255","39641","1360",""
"Ozaukee ","55","55","20570","32160","514",""
"Pepin ","11","11","2101","1615","51",""
"Pierce ","28","28","11695","9715","402",""
"Polk ","36","36","10876","11282","420",""
"Portage ","45","45","24815","13807","666",""
"Price ","44","44","4559","3458","157",""
"Racine ","67","67","53405","45941","1088",""
"Richland ","33","33","5072","3348","90",""
"Rock ","88","88","50515","27356","1099",""
"Rusk ","33","33","3855","3253","134",""
"Sauk ","39","39","18606","11567","382",""
"Sawyer ","21","21","4763","4199","107",""
"Shawano ","43","43","10192","9381","257",""
"Sheboygan ","60","60","30392","30796","778",""
"St. Croix ","40","40","20989","22657","675",""
"Taylor ","27","27","4560","4586","175",""
"Trempealeau ","26","26","8320","4807","161",""
"Vernon ","33","33","8478","5377","218",""
"Vilas ","15","15","6490","7054","142",""
"Walworth ","44","44","24176","25482","618",""
"Washburn ","26","26","4716","4259","108",""
"Washington ","48","48","25713","47725","814",""
"Waukesha ","209","209","85248","145089","2053",""
"Waupaca ","38","38","12952","12131","282",""
"Waushara ","26","26","5868","5769","185",""
"Winnebago ","80","80","48156","37943","1279",""
"Wood ","34","34","21705","16576","646",""
