"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Albany ","22","22","8618","7981","413",""
"Big Horn ","13","13","1108","4043","117",""
"Campbell ","35","35","2986","13001","238",""
"Carbon ","19","19","2336","4331","149",""
"Converse ","19","19","1380","4924","121",""
"Crook ","17","17","612","2967","82",""
"Fremont ","32","32","6016","11082","383",""
"Goshen ","24","24","1832","3942","108",""
"Hot Springs ","4","4","618","1834","70",""
"Johnson ","17","17","908","3334","84",""
"Laramie ","60","60","16070","24549","808",""
"Lincoln ","18","18","1823","6485","217",""
"Natrona ","46","46","8144","17573","547",""
"Niobrara ","6","6","244","1017","27",""
"Park ","29","29","3757","10838","305",""
"Platte ","13","13","1407","2993","126",""
"Sheridan ","29","29","4450","10169","275",""
"Sublette ","9","9","936","3316","76",""
"Sweetwater ","36","36","5762","10360","440",""
"Teton ","18","18","7472","4567","216",""
"Uinta ","11","11","2317","5759","238",""
"Washakie ","5","5","1042","2956","62",""
"Weston ","8","8","658","2618","92",""
